N_Fe N_B T d n_FeB n_FeB_SRH
1.100000E+10 2.500E+15 312 2.200E-4 1.200570699E+00 1.204698540E+00
1.302000E+10 2.500E+15 312 2.200E-4 1.201192005E+00 1.204715138E+00
1.540000E+10 2.500E+15 312 2.200E-4 1.201731109E+00 1.204734744E+00
1.822000E+10 2.500E+15 312 2.200E-4 1.202199714E+00 1.204757879E+00
2.156000E+10 2.500E+15 312 2.200E-4 1.202608340E+00 1.204785181E+00
2.551000E+10 2.500E+15 312 2.200E-4 1.202966443E+00 1.204817379E+00
3.018000E+10 2.500E+15 312 2.200E-4 1.203282537E+00 1.204855325E+00
3.571000E+10 2.500E+15 312 2.200E-4 1.203564309E+00 1.204900008E+00
4.226000E+10 2.500E+15 312 2.200E-4 1.203818734E+00 1.204952599E+00
5.000000E+10 2.500E+15 312 2.200E-4 1.204052227E+00 1.205014432E+00
