N_Fe N_B T d n_Fe n_Fe_SRH
1.100000E+10 2.500E+15 312 2.200E-4 1.160144820E+00 1.162073423E+00
1.302000E+10 2.500E+15 312 2.200E-4 1.160696089E+00 1.162327754E+00
1.540000E+10 2.500E+15 312 2.200E-4 1.161246424E+00 1.162626734E+00
1.822000E+10 2.500E+15 312 2.200E-4 1.161810148E+00 1.162977755E+00
2.156000E+10 2.500E+15 312 2.200E-4 1.162401643E+00 1.163389303E+00
2.551000E+10 2.500E+15 312 2.200E-4 1.163035552E+00 1.163871058E+00
3.018000E+10 2.500E+15 312 2.200E-4 1.163727036E+00 1.164433879E+00
3.571000E+10 2.500E+15 312 2.200E-4 1.164491847E+00 1.165089923E+00
4.226000E+10 2.500E+15 312 2.200E-4 1.165346467E+00 1.165852624E+00
5.000000E+10 2.500E+15 312 2.200E-4 1.166308067E+00 1.166736568E+00
