fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
019_309_SRH 019_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 7.088178620E-14 1.000000000E+20 1.253629479E+00 4.922837140E-14 1.127244970E-03 
020_309 020_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 7.819699279E-14 1.000000000E+20 1.254739925E+00 5.765154110E-14 1.188445149E-03 
020_309_SRH 020_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 7.680595695E-14 1.000000000E+20 1.255053120E+00 5.764044305E-14 1.206937816E-03 
021_309 021_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 8.448234384E-14 1.000000000E+20 1.256207331E+00 6.750882709E-14 1.274956206E-03 
021_309_SRH 021_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 8.312242319E-14 1.000000000E+20 1.256490902E+00 6.749926673E-14 1.292647596E-03 
022_309 022_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 9.120209953E-14 1.000000000E+20 1.257705808E+00 7.906621720E-14 1.367114278E-03 
022_309_SRH 022_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 8.987076693E-14 1.000000000E+20 1.257964792E+00 7.905842330E-14 1.384045086E-03 
023_309 023_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 9.839699845E-14 1.000000000E+20 1.259226450E+00 9.261774900E-14 1.465154363E-03 
023_309_SRH 023_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 9.709180687E-14 1.000000000E+20 1.259464173E+00 9.261187624E-14 1.481373777E-03 
024_309 024_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.061094955E-13 1.000000000E+20 1.260758268E+00 1.085048062E-13 1.569268016E-03 
024_309_SRH 024_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.048279028E-13 1.000000000E+20 1.260977512E+00 1.085010349E-13 1.584820564E-03 
025_309 025_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.143838897E-13 1.000000000E+20 1.262329305E+00 1.271435688E-13 1.679301673E-03 
025_309_SRH 025_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.131240453E-13 1.000000000E+20 1.262532285E+00 1.271421182E-13 1.694216229E-03 
026_309 026_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.232649545E-13 1.000000000E+20 1.263929310E+00 1.490076886E-13 1.795454534E-03 
026_309_SRH 026_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.220249628E-13 1.000000000E+20 1.264117898E+00 1.490088121E-13 1.809758423E-03 
027_309 027_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.327986850E-13 1.000000000E+20 1.265561081E+00 1.746587287E-13 1.917817932E-03 
027_309_SRH 027_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.315768619E-13 1.000000000E+20 1.265736831E+00 1.746627185E-13 1.931534282E-03 
028_309 028_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.430323017E-13 1.000000000E+20 1.267227418E+00 2.047565349E-13 2.046483547E-03 
028_309_SRH 028_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.418271700E-13 1.000000000E+20 1.267391629E+00 2.047637289E-13 2.059632115E-03 
029_309 029_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.540144976E-13 1.000000000E+20 1.268931038E+00 2.400765621E-13 2.181538246E-03 
029_309_SRH 029_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.528247742E-13 1.000000000E+20 1.269084795E+00 2.400873465E-13 2.194135501E-03 
030_309 030_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.657956816E-13 1.000000000E+20 1.270674455E+00 2.815302472E-13 2.323057949E-03 
030_309_SRH 030_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.646202590E-13 1.000000000E+20 1.270818670E+00 2.815450609E-13 2.335118860E-03 
