T file kT1 TDD TDD1 TDD11 TDD111 d N_B
312 001_312 37.161 1.100000E+12 1.100000E+12 1.100000E+12 1.100000E+12 2.200E-4 8.000E+16
312 002_312 37.161 1.302000E+12 1.302000E+12 1.302000E+12 1.302000E+12 2.200E-4 8.000E+16
312 003_312 37.161 1.540000E+12 1.540000E+12 1.540000E+12 1.540000E+12 2.200E-4 8.000E+16
312 004_312 37.161 1.822000E+12 1.822000E+12 1.822000E+12 1.822000E+12 2.200E-4 8.000E+16
312 005_312 37.161 2.156000E+12 2.156000E+12 2.156000E+12 2.156000E+12 2.200E-4 8.000E+16
312 006_312 37.161 2.551000E+12 2.551000E+12 2.551000E+12 2.551000E+12 2.200E-4 8.000E+16
312 007_312 37.161 3.018000E+12 3.018000E+12 3.018000E+12 3.018000E+12 2.200E-4 8.000E+16
312 008_312 37.161 3.571000E+12 3.571000E+12 3.571000E+12 3.571000E+12 2.200E-4 8.000E+16
312 009_312 37.161 4.226000E+12 4.226000E+12 4.226000E+12 4.226000E+12 2.200E-4 8.000E+16
312 010_312 37.161 5.000000E+12 5.000000E+12 5.000000E+12 5.000000E+12 2.200E-4 8.000E+16
