T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD TDD1 TDD11 TDD111 d N_B
325 001_325 35.674 4.436990E-1 7.096005E-1 7.736410E+1 2.435800E+1 3.693650E-1 6.594563E-1 1.000000E+0 1.000000E+10 1.000000E+10 1.000000E+10 1.000000E+10 3.800E-4 3.162E+16
325 002_325 35.674 4.431280E-1 7.045097E-1 7.734210E+1 2.414520E+1 3.688180E-1 6.546656E-1 1.000000E+0 1.468000E+10 1.468000E+10 1.468000E+10 1.468000E+10 3.800E-4 3.162E+16
325 003_325 35.674 4.423420E-1 6.974730E-1 7.731130E+1 2.385220E+1 3.680760E-1 6.480231E-1 1.000000E+0 2.154000E+10 2.154000E+10 2.154000E+10 2.154000E+10 3.800E-4 3.162E+16
325 004_325 35.674 4.412850E-1 6.879707E-1 7.726900E+1 2.345810E+1 3.670800E-1 6.390477E-1 1.000000E+0 3.162000E+10 3.162000E+10 3.162000E+10 3.162000E+10 3.800E-4 3.162E+16
325 005_325 35.674 4.398990E-1 6.755149E-1 7.721350E+1 2.294460E+1 3.657710E-1 6.272935E-1 1.000000E+0 4.642000E+10 4.642000E+10 4.642000E+10 4.642000E+10 3.800E-4 3.162E+16
325 006_325 35.674 4.380680E-1 6.597634E-1 7.715560E+1 2.229960E+1 3.640920E-1 6.124731E-1 1.000000E+0 6.813000E+10 6.813000E+10 6.813000E+10 6.813000E+10 3.800E-4 3.162E+16
325 007_325 35.674 4.358640E-1 6.406268E-1 7.707850E+1 2.152230E+1 3.620610E-1 5.944401E-1 1.000000E+0 1.000000E+11 1.000000E+11 1.000000E+11 1.000000E+11 3.800E-4 3.162E+16
325 008_325 35.674 4.332970E-1 6.182972E-1 7.697950E+1 2.062330E+1 3.596580E-1 5.734134E-1 1.000000E+0 1.468000E+11 1.468000E+11 1.468000E+11 1.468000E+11 3.800E-4 3.162E+16
325 009_325 35.674 4.303770E-1 5.931495E-1 7.685820E+1 1.962020E+1 3.568850E-1 5.497633E-1 1.000000E+0 2.154000E+11 2.154000E+11 2.154000E+11 2.154000E+11 3.800E-4 3.162E+16
325 010_325 35.674 4.269660E-1 5.655659E-1 7.673910E+1 1.853070E+1 3.537600E-1 5.238227E-1 1.000000E+0 3.162000E+11 3.162000E+11 3.162000E+11 3.162000E+11 3.800E-4 3.162E+16
325 011_325 35.674 4.232110E-1 5.358130E-1 7.659080E+1 1.736790E+1 3.502440E-1 4.958792E-1 1.000000E+0 4.642000E+11 4.642000E+11 4.642000E+11 4.642000E+11 3.800E-4 3.162E+16
325 012_325 35.674 4.190390E-1 5.040644E-1 7.641850E+1 1.614130E+1 3.463380E-1 4.660571E-1 1.000000E+0 6.813000E+11 6.813000E+11 6.813000E+11 6.813000E+11 3.800E-4 3.162E+16
