fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
001_336 001_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.014499883E-27 1.000000000E+20 1.018155049E+00 8.210432617E-13 5.531165855E-02 
001_336_SRH 001_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.642109917E-28 1.000000000E+20 1.020267154E+00 7.562257680E-13 6.221716171E-02 
002_336 002_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 5.284061895E-28 1.000000000E+20 1.018683998E+00 1.169939433E-12 5.697492592E-02 
002_336_SRH 002_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 5.282062951E-28 1.000000000E+20 1.020170924E+00 1.105287085E-12 6.183474464E-02 
003_336 003_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.384777167E-27 1.000000000E+20 1.018997828E+00 1.676799252E-12 5.790228885E-02 
003_336_SRH 003_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 7.440076163E-28 1.000000000E+20 1.020032152E+00 1.612343786E-12 6.128065894E-02 
004_336 004_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.954632236E-27 1.000000000E+20 1.019121027E+00 2.409669513E-12 5.815752900E-02 
004_336_SRH 004_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.056719334E-27 1.000000000E+20 1.019833663E+00 2.345466786E-12 6.048265827E-02 
005_336 005_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.496692556E-27 1.000000000E+20 1.019066110E+00 3.462250529E-12 5.775719431E-02 
005_336_SRH 005_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.767785636E-27 1.000000000E+20 1.019553148E+00 3.398387234E-12 5.934341163E-02 
006_336 006_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.113391464E-27 1.000000000E+20 1.018833191E+00 4.959850998E-12 5.666482876E-02 
006_336_SRH 006_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 3.912396666E-27 1.000000000E+20 1.019163579E+00 4.896452523E-12 5.773764602E-02 
007_336 007_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.994168874E-27 1.000000000E+20 1.018413684E+00 7.063136160E-12 5.479712746E-02 
007_336_SRH 007_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.993069583E-27 1.000000000E+20 1.018636152E+00 7.000374489E-12 5.551585345E-02 
008_336 008_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 4.227856721E-27 1.000000000E+20 1.017799332E+00 9.966071261E-12 5.204659422E-02 
008_336_SRH 008_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 4.226598219E-27 1.000000000E+20 1.017947997E+00 9.904170040E-12 5.252266756E-02 
009_336 009_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 5.987397054E-27 1.000000000E+20 1.016998461E+00 1.388384016E-11 4.833017858E-02 
009_336_SRH 009_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 5.986545104E-27 1.000000000E+20 1.017097082E+00 1.382307202E-11 4.864112846E-02 
010_336 010_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 8.481761240E-27 1.000000000E+20 1.016059350E+00 1.902936843E-11 4.367151987E-02 
010_336_SRH 010_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.565578174E-26 1.000000000E+20 1.016124437E+00 1.897003758E-11 4.387119209E-02 
011_336 011_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 8.455049662E-27 1.000000000E+20 1.015093489E+00 2.558624106E-11 3.830412710E-02 
011_336_SRH 011_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.211203946E-26 1.000000000E+20 1.015136492E+00 2.552864655E-11 3.842993964E-02 
012_336 012_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 4.579078338E-26 1.000000000E+20 1.014280662E+00 3.369903997E-11 3.273758392E-02 
012_336_SRH 012_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.197463604E-26 1.000000000E+20 1.014309472E+00 3.364342033E-11 3.281552539E-02 
013_336 013_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 9.413702529E-32 1.000000000E+20 1.013834862E+00 4.350646336E-11 2.768177232E-02 
013_336_SRH 013_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.696068837E-26 1.000000000E+20 1.013854822E+00 4.345293751E-11 2.772971211E-02 
014_336 014_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.394605678E-26 1.000000000E+20 1.013933875E+00 5.522371075E-11 2.377846774E-02 
014_336_SRH 014_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.394380150E-26 1.000000000E+20 1.013948478E+00 5.517223836E-11 2.380832561E-02 
015_336 015_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 3.378093938E-26 1.000000000E+20 1.014658720E+00 6.924866124E-11 2.129593351E-02 
015_336_SRH 015_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 3.379581237E-26 1.000000000E+20 1.014670130E+00 6.919904375E-11 2.131522896E-02 
016_336 016_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 3.391963811E-26 1.000000000E+20 1.015993448E+00 8.625323726E-11 2.006381357E-02 
016_336_SRH 016_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.299653624E-25 1.000000000E+20 1.016002925E+00 8.620516131E-11 2.007695561E-02 
017_336 017_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 8.858190055E-26 1.000000000E+20 1.017880842E+00 1.072416480E-10 1.969842012E-02 
017_336_SRH 017_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 8.893501729E-26 1.000000000E+20 1.017889086E+00 1.071947537E-10 1.970783335E-02 
018_336 018_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 9.650432422E-27 1.000000000E+20 1.020282472E+00 1.335953200E-10 1.986808836E-02 
018_336_SRH 018_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 9.650891418E-27 1.000000000E+20 1.020289857E+00 1.335492679E-10 1.987507935E-02 
019_336 019_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 3.953869323E-25 1.000000000E+20 1.023206398E+00 1.671569387E-10 2.040023651E-02 
019_336_SRH 019_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 3.955202454E-25 1.000000000E+20 1.023213132E+00 1.671114584E-10 2.040554691E-02 
