fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
001_303 001_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 6.917689152E-15 1.000000000E+20 1.109123189E+00 2.695001144E-15 6.683791672E-03 
001_303_SRH 001_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 6.332283909E-15 1.000000000E+20 1.109276988E+00 2.682445071E-15 7.246910306E-03 
002_303 002_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 9.866754864E-15 1.000000000E+20 1.109737356E+00 3.941215803E-15 6.821360507E-03 
002_303_SRH 002_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 9.281705776E-15 1.000000000E+20 1.109835700E+00 3.928791566E-15 7.213750830E-03 
003_303 003_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.418033014E-14 1.000000000E+20 1.110582808E+00 5.761118452E-15 6.894531694E-03 
003_303_SRH 003_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.359589281E-14 1.000000000E+20 1.110647120E+00 5.748819639E-15 7.165557914E-03 
004_303 004_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 2.047914488E-14 1.000000000E+20 1.111776782E+00 8.413179127E-15 6.909966251E-03 
004_303_SRH 004_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.989566522E-14 1.000000000E+20 1.111819794E+00 8.401012926E-15 7.095838648E-03 
005_303 005_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 2.965341696E-14 1.000000000E+20 1.113473036E+00 1.226716317E-14 6.868990264E-03 
005_303_SRH 005_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 2.907137491E-14 1.000000000E+20 1.113502469E+00 1.225515054E-14 6.995668462E-03 
006_303 006_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 4.296413655E-14 1.000000000E+20 1.115871349E+00 1.784831159E-14 6.767397284E-03 
006_303_SRH 006_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 4.238420596E-14 1.000000000E+20 1.115892036E+00 1.783648598E-14 6.853199254E-03 
007_303 007_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 6.216310828E-14 1.000000000E+20 1.119219999E+00 2.589820109E-14 6.595880680E-03 
007_303_SRH 007_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 6.158622991E-14 1.000000000E+20 1.119235025E+00 2.588660636E-14 6.653596262E-03 
008_303 008_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 8.961082649E-14 1.000000000E+20 1.123801342E+00 3.746176463E-14 6.341673195E-03 
008_303_SRH 008_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 8.903829554E-14 1.000000000E+20 1.123812754E+00 3.745044916E-14 6.380173256E-03 
009_303 009_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.283399226E-13 1.000000000E+20 1.129885335E+00 5.402012948E-14 5.992731019E-03 
009_303_SRH 009_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.277734640E-13 1.000000000E+20 1.129894482E+00 5.400914007E-14 6.018146391E-03 
010_303 010_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.819692650E-13 1.000000000E+20 1.137635231E+00 7.770570384E-14 5.546687526E-03 
010_303_SRH 010_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.814110732E-13 1.000000000E+20 1.137643030E+00 7.769507577E-14 5.563254698E-03 
011_303 011_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 2.543507190E-13 1.000000000E+20 1.146968408E+00 1.116532183E-13 5.026939692E-03 
011_303_SRH 011_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 2.538033923E-13 1.000000000E+20 1.146975455E+00 1.116429727E-13 5.037596847E-03 
012_303 012_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 3.488996052E-13 1.000000000E+20 1.157427241E+00 1.605441032E-13 4.505177183E-03 
012_303_SRH 012_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 3.483659128E-13 1.000000000E+20 1.157433874E+00 1.605342463E-13 4.511980633E-03 
013_303 013_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 4.677934126E-13 1.000000000E+20 1.168181399E+00 2.313894058E-13 4.116762024E-03 
013_303_SRH 013_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 4.672758705E-13 1.000000000E+20 1.168187756E+00 2.313799423E-13 4.121165595E-03 
014_303 014_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 6.115518658E-13 1.000000000E+20 1.178268454E+00 3.346058511E-13 4.028131522E-03 
014_303_SRH 014_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 6.110521661E-13 1.000000000E+20 1.178274476E+00 3.345967952E-13 4.031164276E-03 
015_303 015_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 7.796013054E-13 1.000000000E+20 1.186991548E+00 4.855225577E-13 4.333305939E-03 
015_303_SRH 015_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 7.791198555E-13 1.000000000E+20 1.186997119E+00 4.855139412E-13 4.335640815E-03 
016_303 016_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 9.719099502E-13 1.000000000E+20 1.194178217E+00 7.066042192E-13 4.999410078E-03 
016_303_SRH 016_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 9.714457140E-13 1.000000000E+20 1.194183246E+00 7.065960946E-13 5.001411532E-03 
017_303 017_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.190879900E-12 1.000000000E+20 1.200094283E+00 1.030829033E-12 5.947212828E-03 
017_303_SRH 017_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.190430623E-12 1.000000000E+20 1.200098729E+00 1.030821504E-12 5.949036188E-03 
018_303 018_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.442324185E-12 1.000000000E+20 1.205150537E+00 1.506809987E-12 7.124536069E-03 
018_303_SRH 018_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.441886997E-12 1.000000000E+20 1.205154434E+00 1.506803216E-12 7.126235725E-03 
019_303 019_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.735073751E-12 1.000000000E+20 1.209671047E+00 2.206492697E-12 8.508307178E-03 
019_303_SRH 019_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.734645828E-12 1.000000000E+20 1.209674463E+00 2.206486923E-12 8.509899046E-03 
