N_Fe N_B T d n_FeB n_FeB_SRH
1.300000E+10 1.000E+17 310 1.800E-4 1.215038703E+00 1.239110214E+00
2.471000E+10 1.000E+17 310 1.800E-4 1.227910062E+00 1.241122376E+00
4.696000E+10 1.000E+17 310 1.800E-4 1.237276624E+00 1.244302266E+00
8.927000E+10 1.000E+17 310 1.800E-4 1.245121495E+00 1.248800542E+00
1.697000E+11 1.000E+17 310 1.800E-4 1.252410541E+00 1.254390667E+00
3.225000E+11 1.000E+17 310 1.800E-4 1.259367626E+00 1.260487251E+00
6.130000E+11 1.000E+17 310 1.800E-4 1.266027244E+00 1.266709773E+00
1.165000E+12 1.000E+17 310 1.800E-4 1.272550508E+00 1.273007496E+00
2.214000E+12 1.000E+17 310 1.800E-4 1.279246359E+00 1.279576304E+00
4.209000E+12 1.000E+17 310 1.800E-4 1.286451723E+00 1.286700906E+00
8.000000E+12 1.000E+17 310 1.800E-4 1.294387576E+00 1.294581971E+00
