N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 3.162E+15 336 1.800E-4 1.145717364E+00 1.151561301E+00
1.468000E+10 3.162E+15 336 1.800E-4 1.147751213E+00 1.151785178E+00
2.154000E+10 3.162E+15 336 1.800E-4 1.149335311E+00 1.152111521E+00
3.162000E+10 3.162E+15 336 1.800E-4 1.150677593E+00 1.152585745E+00
4.642000E+10 3.162E+15 336 1.800E-4 1.151959911E+00 1.153271635E+00
6.813000E+10 3.162E+15 336 1.800E-4 1.153353833E+00 1.154256974E+00
1.000000E+11 3.162E+15 336 1.800E-4 1.155034910E+00 1.155658686E+00
1.468000E+11 3.162E+15 336 1.800E-4 1.157191708E+00 1.157624777E+00
2.154000E+11 3.162E+15 336 1.800E-4 1.160024586E+00 1.160327609E+00
3.162000E+11 3.162E+15 336 1.800E-4 1.163725303E+00 1.163939741E+00
4.642000E+11 3.162E+15 336 1.800E-4 1.168428841E+00 1.168582936E+00
6.813000E+11 3.162E+15 336 1.800E-4 1.174136626E+00 1.174249582E+00
1.000000E+12 3.162E+15 336 1.800E-4 1.180637792E+00 1.180722513E+00
1.468000E+12 3.162E+15 336 1.800E-4 1.187491522E+00 1.187556554E+00
2.154000E+12 3.162E+15 336 1.800E-4 1.194136840E+00 1.194187741E+00
3.162000E+12 3.162E+15 336 1.800E-4 1.200109268E+00 1.200149682E+00
4.642000E+12 3.162E+15 336 1.800E-4 1.205203850E+00 1.205236277E+00
6.813000E+12 3.162E+15 336 1.800E-4 1.209473002E+00 1.209499249E+00
1.000000E+13 3.162E+15 336 1.800E-4 1.213092530E+00 1.213114015E+00
