N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 1.000E+15 335 2.100E-4 1.042974223E+00 1.047482402E+00
1.468000E+10 1.000E+15 335 2.100E-4 1.044150580E+00 1.047317563E+00
2.154000E+10 1.000E+15 335 2.100E-4 1.044877234E+00 1.047077866E+00
3.162000E+10 1.000E+15 335 2.100E-4 1.045214852E+00 1.046730833E+00
4.642000E+10 1.000E+15 335 2.100E-4 1.045194834E+00 1.046231577E+00
6.813000E+10 1.000E+15 335 2.100E-4 1.044815755E+00 1.045519946E+00
1.000000E+11 1.000E+15 335 2.100E-4 1.044044244E+00 1.044519143E+00
1.468000E+11 1.000E+15 335 2.100E-4 1.042821155E+00 1.043138765E+00
2.154000E+11 1.000E+15 335 2.100E-4 1.041077162E+00 1.041287411E+00
3.162000E+11 1.000E+15 335 2.100E-4 1.038764525E+00 1.038901943E+00
4.642000E+11 1.000E+15 335 2.100E-4 1.035910491E+00 1.035998971E+00
6.813000E+11 1.000E+15 335 2.100E-4 1.032686637E+00 1.032742748E+00
1.000000E+12 1.000E+15 335 2.100E-4 1.029461419E+00 1.029496670E+00
1.468000E+12 1.000E+15 335 2.100E-4 1.026771167E+00 1.026793490E+00
2.154000E+12 1.000E+15 335 2.100E-4 1.025155707E+00 1.025170404E+00
3.162000E+12 1.000E+15 335 2.100E-4 1.024916682E+00 1.024927068E+00
4.642000E+12 1.000E+15 335 2.100E-4 1.026004526E+00 1.026012493E+00
6.813000E+12 1.000E+15 335 2.100E-4 1.028164376E+00 1.028170906E+00
1.000000E+13 1.000E+15 335 2.100E-4 1.031174612E+00 1.031180195E+00
