N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 5.623E+15 330 1.900E-4 1.134179852E+00 1.139096166E+00
1.468000E+10 5.623E+15 330 1.900E-4 1.136518491E+00 1.139859530E+00
2.154000E+10 5.623E+15 330 1.900E-4 1.138696629E+00 1.140965627E+00
3.162000E+10 5.623E+15 330 1.900E-4 1.141016427E+00 1.142558735E+00
4.642000E+10 5.623E+15 330 1.900E-4 1.143783047E+00 1.144833518E+00
6.813000E+10 5.623E+15 330 1.900E-4 1.147323419E+00 1.148041149E+00
1.000000E+11 5.623E+15 330 1.900E-4 1.151990787E+00 1.152483563E+00
1.468000E+11 5.623E+15 330 1.900E-4 1.158139997E+00 1.158481003E+00
2.154000E+11 5.623E+15 330 1.900E-4 1.166055762E+00 1.166294700E+00
3.162000E+11 5.623E+15 330 1.900E-4 1.175823631E+00 1.175994281E+00
4.642000E+11 5.623E+15 330 1.900E-4 1.187173663E+00 1.187298702E+00
6.813000E+11 5.623E+15 330 1.900E-4 1.199396276E+00 1.199490601E+00
1.000000E+12 5.623E+15 330 1.900E-4 1.211471823E+00 1.211544794E+00
1.468000E+12 5.623E+15 330 1.900E-4 1.222440080E+00 1.222497373E+00
2.154000E+12 5.623E+15 330 1.900E-4 1.231784495E+00 1.231829664E+00
3.162000E+12 5.623E+15 330 1.900E-4 1.239525378E+00 1.239560985E+00
4.642000E+12 5.623E+15 330 1.900E-4 1.245998137E+00 1.246026296E+00
6.813000E+12 5.623E+15 330 1.900E-4 1.251576482E+00 1.251598971E+00
1.000000E+13 5.623E+15 330 1.900E-4 1.256538751E+00 1.256556998E+00
