N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 1.400E+15 335 1.800E-4 1.025143457E+00 1.028454705E+00
1.468000E+10 1.400E+15 335 1.800E-4 1.026036411E+00 1.028380506E+00
2.154000E+10 1.400E+15 335 1.800E-4 1.026633869E+00 1.028272563E+00
3.162000E+10 1.400E+15 335 1.800E-4 1.026981654E+00 1.028116180E+00
4.642000E+10 1.400E+15 335 1.800E-4 1.027111570E+00 1.027890997E+00
6.813000E+10 1.400E+15 335 1.800E-4 1.027037676E+00 1.027569610E+00
1.000000E+11 1.400E+15 335 1.800E-4 1.026756084E+00 1.027116839E+00
1.468000E+11 1.400E+15 335 1.800E-4 1.026247868E+00 1.026490924E+00
2.154000E+11 1.400E+15 335 1.800E-4 1.025486569E+00 1.025649125E+00
3.162000E+11 1.400E+15 335 1.800E-4 1.024453468E+00 1.024561293E+00
4.642000E+11 1.400E+15 335 1.800E-4 1.023163833E+00 1.023234756E+00
6.813000E+11 1.400E+15 335 1.800E-4 1.021702661E+00 1.021749028E+00
1.000000E+12 1.400E+15 335 1.800E-4 1.020255744E+00 1.020286099E+00
1.468000E+12 1.400E+15 335 1.800E-4 1.019105138E+00 1.019125352E+00
2.154000E+12 1.400E+15 335 1.800E-4 1.018559761E+00 1.018573774E+00
3.162000E+12 1.400E+15 335 1.800E-4 1.018840846E+00 1.018851184E+00
4.642000E+12 1.400E+15 335 1.800E-4 1.020007448E+00 1.020015629E+00
6.813000E+12 1.400E+15 335 1.800E-4 1.021989571E+00 1.021996445E+00
1.000000E+13 1.400E+15 335 1.800E-4 1.024689376E+00 1.024695394E+00
