N_Fe N_B T d n_FeB n_FeB_SRH
1.100000E+11 2.500E+15 292 2.200E-4 1.200385606E+00 1.200820596E+00
1.302000E+11 2.500E+15 292 2.200E-4 1.200605937E+00 1.200976647E+00
1.540000E+11 2.500E+15 292 2.200E-4 1.200840956E+00 1.201157855E+00
1.822000E+11 2.500E+15 292 2.200E-4 1.201104400E+00 1.201377137E+00
2.156000E+11 2.500E+15 292 2.200E-4 1.201386990E+00 1.201620677E+00
2.551000E+11 2.500E+15 292 2.200E-4 1.201707500E+00 1.201908261E+00
3.018000E+11 2.500E+15 292 2.200E-4 1.202061657E+00 1.202234243E+00
3.571000E+11 2.500E+15 292 2.200E-4 1.202469756E+00 1.202618685E+00
4.226000E+11 2.500E+15 292 2.200E-4 1.202927620E+00 1.203056916E+00
5.000000E+11 2.500E+15 292 2.200E-4 1.203453256E+00 1.203565539E+00
