T file kT1 TDD TDD1 d N_B
293 001_293 39.571 1.000000E+10 1.000000E+10 1.800E-4 1.778E+15
293 002_293 39.571 1.468000E+10 1.468000E+10 1.800E-4 1.778E+15
293 003_293 39.571 2.154000E+10 2.154000E+10 1.800E-4 1.778E+15
293 004_293 39.571 3.162000E+10 3.162000E+10 1.800E-4 1.778E+15
293 005_293 39.571 4.642000E+10 4.642000E+10 1.800E-4 1.778E+15
293 006_293 39.571 6.813000E+10 6.813000E+10 1.800E-4 1.778E+15
293 007_293 39.571 1.000000E+11 1.000000E+11 1.800E-4 1.778E+15
293 008_293 39.571 1.468000E+11 1.468000E+11 1.800E-4 1.778E+15
293 009_293 39.571 2.154000E+11 2.154000E+11 1.800E-4 1.778E+15
293 010_293 39.571 3.162000E+11 3.162000E+11 1.800E-4 1.778E+15
293 011_293 39.571 4.642000E+11 4.642000E+11 1.800E-4 1.778E+15
293 012_293 39.571 6.813000E+11 6.813000E+11 1.800E-4 1.778E+15
293 013_293 39.571 1.000000E+12 1.000000E+12 1.800E-4 1.778E+15
293 014_293 39.571 1.468000E+12 1.468000E+12 1.800E-4 1.778E+15
293 015_293 39.571 2.154000E+12 2.154000E+12 1.800E-4 1.778E+15
293 016_293 39.571 3.162000E+12 3.162000E+12 1.800E-4 1.778E+15
293 017_293 39.571 4.642000E+12 4.642000E+12 1.800E-4 1.778E+15
293 018_293 39.571 6.813000E+12 6.813000E+12 1.800E-4 1.778E+15
293 019_293 39.571 1.000000E+13 1.000000E+13 1.800E-4 1.778E+15
