T file kT1 TDD TDD1 d N_B
312 001_312 37.161 1.100000E+11 1.100000E+11 2.200E-4 2.500E+15
312 002_312 37.161 1.302000E+11 1.302000E+11 2.200E-4 2.500E+15
312 003_312 37.161 1.540000E+11 1.540000E+11 2.200E-4 2.500E+15
312 004_312 37.161 1.822000E+11 1.822000E+11 2.200E-4 2.500E+15
312 005_312 37.161 2.156000E+11 2.156000E+11 2.200E-4 2.500E+15
312 006_312 37.161 2.551000E+11 2.551000E+11 2.200E-4 2.500E+15
312 007_312 37.161 3.018000E+11 3.018000E+11 2.200E-4 2.500E+15
312 008_312 37.161 3.571000E+11 3.571000E+11 2.200E-4 2.500E+15
312 009_312 37.161 4.226000E+11 4.226000E+11 2.200E-4 2.500E+15
312 010_312 37.161 5.000000E+11 5.000000E+11 2.200E-4 2.500E+15
