N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 5.623E+16 300 1.900E-4 1.207334247E+00 1.222921835E+00
1.468000E+10 5.623E+16 300 1.900E-4 1.212263695E+00 1.223365867E+00
2.154000E+10 5.623E+16 300 1.900E-4 1.216144288E+00 1.223988313E+00
3.162000E+10 5.623E+16 300 1.900E-4 1.219337532E+00 1.224845093E+00
4.642000E+10 5.623E+16 300 1.900E-4 1.222142626E+00 1.225996508E+00
6.813000E+10 5.623E+16 300 1.900E-4 1.224799180E+00 1.227498188E+00
1.000000E+11 5.623E+16 300 1.900E-4 1.227508235E+00 1.229410941E+00
1.468000E+11 5.623E+16 300 1.900E-4 1.230299536E+00 1.231700139E+00
2.154000E+11 5.623E+16 300 1.900E-4 1.233355714E+00 1.234372322E+00
3.162000E+11 5.623E+16 300 1.900E-4 1.236615796E+00 1.237380781E+00
4.642000E+11 5.623E+16 300 1.900E-4 1.240089672E+00 1.240683864E+00
6.813000E+11 5.623E+16 300 1.900E-4 1.243779160E+00 1.244255569E+00
1.000000E+12 5.623E+16 300 1.900E-4 1.247678443E+00 1.248070264E+00
1.468000E+12 5.623E+16 300 1.900E-4 1.251819841E+00 1.252148624E+00
2.154000E+12 5.623E+16 300 1.900E-4 1.256222406E+00 1.256501881E+00
3.162000E+12 5.623E+16 300 1.900E-4 1.260911014E+00 1.261150343E+00
4.642000E+12 5.623E+16 300 1.900E-4 1.265901471E+00 1.266107072E+00
6.813000E+12 5.623E+16 300 1.900E-4 1.271209554E+00 1.271385980E+00
1.000000E+13 5.623E+16 300 1.900E-4 1.276832648E+00 1.276983720E+00
