N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.000E+16 295 2.400E-4 1.204030715E+00 1.210495227E+00
1.468000E+10 1.000E+16 295 2.400E-4 1.205974925E+00 1.210611341E+00
2.154000E+10 1.000E+16 295 2.400E-4 1.207485834E+00 1.210779746E+00
3.162000E+10 1.000E+16 295 2.400E-4 1.208698884E+00 1.211022821E+00
4.642000E+10 1.000E+16 295 2.400E-4 1.209737872E+00 1.211371188E+00
6.813000E+10 1.000E+16 295 2.400E-4 1.210719326E+00 1.211874464E+00
1.000000E+11 1.000E+16 295 2.400E-4 1.211752108E+00 1.212567890E+00
1.468000E+11 1.000E+16 295 2.400E-4 1.212940740E+00 1.213521971E+00
2.154000E+11 1.000E+16 295 2.400E-4 1.214386741E+00 1.214808669E+00
3.162000E+11 1.000E+16 295 2.400E-4 1.216171805E+00 1.216482022E+00
4.642000E+11 1.000E+16 295 2.400E-4 1.218366324E+00 1.218599904E+00
6.813000E+11 1.000E+16 295 2.400E-4 1.221017255E+00 1.221199291E+00
1.000000E+12 1.000E+16 295 2.400E-4 1.224127138E+00 1.224272513E+00
1.468000E+12 1.000E+16 295 2.400E-4 1.227680447E+00 1.227799786E+00
2.154000E+12 1.000E+16 295 2.400E-4 1.231639721E+00 1.231739839E+00
3.162000E+12 1.000E+16 295 2.400E-4 1.235975033E+00 1.236060322E+00
4.642000E+12 1.000E+16 295 2.400E-4 1.240636860E+00 1.240709998E+00
6.813000E+12 1.000E+16 295 2.400E-4 1.245627421E+00 1.245690415E+00
1.000000E+13 1.000E+16 295 2.400E-4 1.250909348E+00 1.250963498E+00
