N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 1.400E+15 340 1.500E-4 1.034601202E+00 1.040678517E+00
1.468000E+10 1.400E+15 340 1.500E-4 1.036249377E+00 1.040605179E+00
2.154000E+10 1.400E+15 340 1.500E-4 1.037423865E+00 1.040498106E+00
3.162000E+10 1.400E+15 340 1.500E-4 1.038197863E+00 1.040342174E+00
4.642000E+10 1.400E+15 340 1.500E-4 1.038633818E+00 1.040115912E+00
6.813000E+10 1.400E+15 340 1.500E-4 1.038772486E+00 1.039789352E+00
1.000000E+11 1.400E+15 340 1.500E-4 1.038628517E+00 1.039321696E+00
1.468000E+11 1.400E+15 340 1.500E-4 1.038190017E+00 1.038659559E+00
2.154000E+11 1.400E+15 340 1.500E-4 1.037421593E+00 1.037737452E+00
3.162000E+11 1.400E+15 340 1.500E-4 1.036272990E+00 1.036483733E+00
4.642000E+11 1.400E+15 340 1.500E-4 1.034697957E+00 1.034837179E+00
6.813000E+11 1.400E+15 340 1.500E-4 1.032689034E+00 1.032779953E+00
1.000000E+12 1.400E+15 340 1.500E-4 1.030329387E+00 1.030388070E+00
1.468000E+12 1.400E+15 340 1.500E-4 1.027847308E+00 1.027884895E+00
2.154000E+12 1.400E+15 340 1.500E-4 1.025631479E+00 1.025655674E+00
3.162000E+12 1.400E+15 340 1.500E-4 1.024152271E+00 1.024168300E+00
4.642000E+12 1.400E+15 340 1.500E-4 1.023785572E+00 1.023796828E+00
6.813000E+12 1.400E+15 340 1.500E-4 1.024655007E+00 1.024663537E+00
1.000000E+13 1.400E+15 340 1.500E-4 1.026645882E+00 1.026652818E+00
