N_Fe N_B T d n_Fe n_Fe_SRH
5.000000E+10 7.000E+15 297 1.700E-4 1.239897940E+00 1.241965576E+00
5.861000E+10 7.000E+15 297 1.700E-4 1.240254734E+00 1.242041887E+00
6.869000E+10 7.000E+15 297 1.700E-4 1.240587234E+00 1.242130803E+00
8.051000E+10 7.000E+15 297 1.700E-4 1.240901793E+00 1.242234320E+00
9.437000E+10 7.000E+15 297 1.700E-4 1.241204643E+00 1.242354694E+00
1.106000E+11 7.000E+15 297 1.700E-4 1.241501945E+00 1.242494504E+00
1.296000E+11 7.000E+15 297 1.700E-4 1.241799804E+00 1.242656647E+00
1.520000E+11 7.000E+15 297 1.700E-4 1.242104334E+00 1.242844397E+00
1.781000E+11 7.000E+15 297 1.700E-4 1.242421690E+00 1.243061387E+00
2.088000E+11 7.000E+15 297 1.700E-4 1.242758124E+00 1.243311647E+00
2.447000E+11 7.000E+15 297 1.700E-4 1.243119995E+00 1.243599600E+00
2.868000E+11 7.000E+15 297 1.700E-4 1.243513805E+00 1.243930054E+00
3.362000E+11 7.000E+15 297 1.700E-4 1.243946189E+00 1.244308174E+00
3.940000E+11 7.000E+15 297 1.700E-4 1.244423903E+00 1.244739436E+00
4.618000E+11 7.000E+15 297 1.700E-4 1.244953781E+00 1.245229565E+00
5.413000E+11 7.000E+15 297 1.700E-4 1.245542652E+00 1.245784435E+00
6.345000E+11 7.000E+15 297 1.700E-4 1.246197268E+00 1.246409964E+00
7.437000E+11 7.000E+15 297 1.700E-4 1.246924145E+00 1.247111972E+00
8.717000E+11 7.000E+15 297 1.700E-4 1.247729451E+00 1.247895993E+00
1.022000E+12 7.000E+15 297 1.700E-4 1.248618795E+00 1.248767121E+00
1.198000E+12 7.000E+15 297 1.700E-4 1.249597068E+00 1.249729784E+00
1.404000E+12 7.000E+15 297 1.700E-4 1.250668238E+00 1.250787556E+00
1.645000E+12 7.000E+15 297 1.700E-4 1.251835167E+00 1.251942959E+00
1.928000E+12 7.000E+15 297 1.700E-4 1.253099454E+00 1.253197306E+00
2.260000E+12 7.000E+15 297 1.700E-4 1.254461319E+00 1.254550564E+00
2.649000E+12 7.000E+15 297 1.700E-4 1.255919572E+00 1.256001323E+00
3.105000E+12 7.000E+15 297 1.700E-4 1.257471635E+00 1.257546829E+00
3.639000E+12 7.000E+15 297 1.700E-4 1.259113673E+00 1.259183090E+00
4.266000E+12 7.000E+15 297 1.700E-4 1.260840810E+00 1.260905098E+00
5.000000E+12 7.000E+15 297 1.700E-4 1.262647411E+00 1.262707104E+00
