T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD TDD1 d N_B
340 001_340 34.101 4.069110E-1 7.408689E-1 7.522950E+1 2.267920E+1 3.331150E-1 6.808229E-1 1.000000E+0 1.000000E+10 1.000000E+10 3.800E-4 1.000E+16
340 002_340 34.101 4.062910E-1 7.387592E-1 7.520130E+1 2.257170E+1 3.325290E-1 6.787903E-1 1.000000E+0 1.468000E+10 1.468000E+10 3.800E-4 1.000E+16
340 003_340 34.101 4.054210E-1 7.357401E-1 7.516110E+1 2.241940E+1 3.317090E-1 6.758749E-1 1.000000E+0 2.154000E+10 2.154000E+10 3.800E-4 1.000E+16
340 004_340 34.101 4.042180E-1 7.314674E-1 7.510490E+1 2.220640E+1 3.305760E-1 6.717491E-1 1.000000E+0 3.162000E+10 3.162000E+10 3.800E-4 1.000E+16
340 005_340 34.101 4.025940E-1 7.255130E-1 7.502760E+1 2.191460E+1 3.290530E-1 6.659911E-1 1.000000E+0 4.642000E+10 4.642000E+10 3.800E-4 1.000E+16
340 006_340 34.101 4.004640E-1 7.173866E-1 7.492470E+1 2.152490E+1 3.270410E-1 6.581723E-1 1.000000E+0 6.813000E+10 6.813000E+10 3.800E-4 1.000E+16
340 007_340 34.101 3.976680E-1 7.065958E-1 7.481080E+1 2.102110E+1 3.244820E-1 6.478364E-1 1.000000E+0 1.000000E+11 1.000000E+11 3.800E-4 1.000E+16
340 008_340 34.101 3.942950E-1 6.927505E-1 7.466520E+1 2.039460E+1 3.213770E-1 6.346016E-1 1.000000E+0 1.468000E+11 1.468000E+11 3.800E-4 1.000E+16
340 009_340 34.101 3.904180E-1 6.756857E-1 7.448250E+1 1.964850E+1 3.177440E-1 6.183747E-1 1.000000E+0 2.154000E+11 2.154000E+11 3.800E-4 1.000E+16
340 010_340 34.101 3.859670E-1 6.555375E-1 7.429680E+1 1.879830E+1 3.137010E-1 5.992416E-1 1.000000E+0 3.162000E+11 3.162000E+11 3.800E-4 1.000E+16
340 011_340 34.101 3.812500E-1 6.326928E-1 7.407200E+1 1.786720E+1 3.093460E-1 5.775805E-1 1.000000E+0 4.642000E+11 4.642000E+11 3.800E-4 1.000E+16
340 012_340 34.101 3.761670E-1 6.076041E-1 7.384330E+1 1.687760E+1 3.046970E-1 5.539152E-1 1.000000E+0 6.813000E+11 6.813000E+11 3.800E-4 1.000E+16
340 013_340 34.101 3.708990E-1 5.805803E-1 7.357770E+1 1.584400E+1 2.998140E-1 5.284603E-1 1.000000E+0 1.000000E+12 1.000000E+12 3.800E-4 1.000E+16
340 014_340 34.101 3.652390E-1 5.517064E-1 7.330730E+1 1.477170E+1 2.946580E-1 5.013185E-1 1.000000E+0 1.468000E+12 1.468000E+12 3.800E-4 1.000E+16
340 015_340 34.101 3.593160E-1 5.209457E-1 7.299080E+1 1.366270E+1 2.891890E-1 4.724487E-1 1.000000E+0 2.154000E+12 2.154000E+12 3.800E-4 1.000E+16
340 016_340 34.101 3.529220E-1 4.883267E-1 7.265640E+1 1.252170E+1 2.833500E-1 4.419161E-1 1.000000E+0 3.162000E+12 3.162000E+12 3.800E-4 1.000E+16
340 017_340 34.101 3.461180E-1 4.540749E-1 7.228180E+1 1.136010E+1 2.771190E-1 4.099345E-1 1.000000E+0 4.642000E+12 4.642000E+12 3.800E-4 1.000E+16
340 018_340 34.101 3.389360E-1 4.186256E-1 7.185380E+1 1.019510E+1 2.704980E-1 3.769030E-1 1.000000E+0 6.813000E+12 6.813000E+12 3.800E-4 1.000E+16
340 019_340 34.101 3.312950E-1 3.825608E-1 7.138410E+1 9.047300E+0 2.634860E-1 3.433673E-1 1.000000E+0 1.000000E+13 1.000000E+13 3.800E-4 1.000E+16
340 020_340 34.101 3.232000E-1 3.465308E-1 7.086630E+1 7.936900E+0 2.560840E-1 3.099351E-1 1.000000E+0 1.468000E+13 1.468000E+13 3.800E-4 1.000E+16
340 021_340 34.101 3.147020E-1 3.111917E-1 7.028110E+1 6.882800E+0 2.483110E-1 2.771862E-1 1.000000E+0 2.154000E+13 2.154000E+13 3.800E-4 1.000E+16
340 022_340 34.101 3.057970E-1 2.771444E-1 6.961950E+1 5.900200E+0 2.401460E-1 2.456937E-1 1.000000E+0 3.162000E+13 3.162000E+13 3.800E-4 1.000E+16
340 023_340 34.101 2.964720E-1 2.449071E-1 6.886910E+1 5.000400E+0 2.315720E-1 2.159349E-1 1.000000E+0 4.642000E+13 4.642000E+13 3.800E-4 1.000E+16
340 024_340 34.101 2.867080E-1 2.148807E-1 6.801400E+1 4.190200E+0 2.225680E-1 1.882658E-1 1.000000E+0 6.813000E+13 6.813000E+13 3.800E-4 1.000E+16
340 025_340 34.101 2.764700E-1 1.873380E-1 6.703430E+1 3.471900E+0 2.131350E-1 1.628986E-1 1.000000E+0 1.000000E+14 1.000000E+14 3.800E-4 1.000E+16
