N_Fe N_B T d n_FeB n_FeB_SRH
5.000000E+10 4.500E+16 321 1.700E-4 1.232562352E+00 1.239292650E+00
5.861000E+10 4.500E+16 321 1.700E-4 1.234084431E+00 1.239837019E+00
6.869000E+10 4.500E+16 321 1.700E-4 1.235540503E+00 1.240451848E+00
8.051000E+10 4.500E+16 321 1.700E-4 1.236953762E+00 1.241142563E+00
9.437000E+10 4.500E+16 321 1.700E-4 1.238344723E+00 1.241913958E+00
1.106000E+11 4.500E+16 321 1.700E-4 1.239731035E+00 1.242769902E+00
1.296000E+11 4.500E+16 321 1.700E-4 1.241127343E+00 1.243712941E+00
1.520000E+11 4.500E+16 321 1.700E-4 1.242545153E+00 1.244744079E+00
1.781000E+11 4.500E+16 321 1.700E-4 1.243992749E+00 1.245862379E+00
2.088000E+11 4.500E+16 321 1.700E-4 1.245475124E+00 1.247064874E+00
2.447000E+11 4.500E+16 321 1.700E-4 1.246994162E+00 1.248346453E+00
2.868000E+11 4.500E+16 321 1.700E-4 1.248548762E+00 1.249700018E+00
3.362000E+11 4.500E+16 321 1.700E-4 1.250135320E+00 1.251116694E+00
3.940000E+11 4.500E+16 321 1.700E-4 1.251748155E+00 1.252586253E+00
4.618000E+11 4.500E+16 321 1.700E-4 1.253380250E+00 1.254097742E+00
5.413000E+11 4.500E+16 321 1.700E-4 1.255023887E+00 1.255640008E+00
6.345000E+11 4.500E+16 321 1.700E-4 1.256671346E+00 1.257202352E+00
7.437000E+11 4.500E+16 321 1.700E-4 1.258315530E+00 1.258775123E+00
8.717000E+11 4.500E+16 321 1.700E-4 1.259950438E+00 1.260350135E+00
1.022000E+12 4.500E+16 321 1.700E-4 1.261571530E+00 1.261920976E+00
1.198000E+12 4.500E+16 321 1.700E-4 1.263175908E+00 1.263483117E+00
1.404000E+12 4.500E+16 321 1.700E-4 1.264762315E+00 1.265033975E+00
1.645000E+12 4.500E+16 321 1.700E-4 1.266331049E+00 1.266572700E+00
1.928000E+12 4.500E+16 321 1.700E-4 1.267883775E+00 1.268100014E+00
2.260000E+12 4.500E+16 321 1.700E-4 1.269423259E+00 1.269617881E+00
2.649000E+12 4.500E+16 321 1.700E-4 1.270953122E+00 1.271129286E+00
3.105000E+12 4.500E+16 321 1.700E-4 1.272477568E+00 1.272637870E+00
3.639000E+12 4.500E+16 321 1.700E-4 1.274001151E+00 1.274147748E+00
4.266000E+12 4.500E+16 321 1.700E-4 1.275528564E+00 1.275663253E+00
5.000000E+12 4.500E+16 321 1.700E-4 1.277064503E+00 1.277188778E+00
