T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD TDD1 TDD11 TDD111 d N_B
340 001_340 34.101 4.063570E-1 7.029401E-1 7.522190E+1 2.148670E+1 3.326660E-1 6.458957E-1 1.000000E+0 1.000000E+10 1.000000E+10 1.000000E+10 1.000000E+10 1.800E-4 3.162E+16
340 002_340 34.101 4.060380E-1 7.007974E-1 7.520880E+1 2.140070E+1 3.323730E-1 6.438751E-1 1.000000E+0 1.468000E+10 1.468000E+10 1.468000E+10 1.468000E+10 1.800E-4 3.162E+16
340 003_340 34.101 4.055790E-1 6.977047E-1 7.518970E+1 2.127670E+1 3.319430E-1 6.409757E-1 1.000000E+0 2.154000E+10 2.154000E+10 2.154000E+10 2.154000E+10 1.800E-4 3.162E+16
340 004_340 34.101 4.049280E-1 6.932742E-1 7.516200E+1 2.109990E+1 3.313380E-1 6.368100E-1 1.000000E+0 3.162000E+10 3.162000E+10 3.162000E+10 3.162000E+10 1.800E-4 3.162E+16
340 005_340 34.101 4.040150E-1 6.869945E-1 7.512220E+1 2.085060E+1 3.304980E-1 6.308852E-1 1.000000E+0 4.642000E+10 4.642000E+10 4.642000E+10 4.642000E+10 1.800E-4 3.162E+16
340 006_340 34.101 4.027580E-1 6.782260E-1 7.506590E+1 2.050510E+1 3.293260E-1 6.226376E-1 1.000000E+0 6.813000E+10 6.813000E+10 6.813000E+10 6.813000E+10 1.800E-4 3.162E+16
340 007_340 34.101 4.010680E-1 6.662313E-1 7.498760E+1 2.003700E+1 3.277250E-1 6.113967E-1 1.000000E+0 1.000000E+11 1.000000E+11 1.000000E+11 1.000000E+11 1.800E-4 3.162E+16
340 008_340 34.101 3.988020E-1 6.502666E-1 7.489230E+1 1.942160E+1 3.256540E-1 5.963879E-1 1.000000E+0 1.468000E+11 1.468000E+11 1.468000E+11 1.468000E+11 1.800E-4 3.162E+16
340 009_340 34.101 3.959060E-1 6.297502E-1 7.477390E+1 1.864280E+1 3.229980E-1 5.771796E-1 1.000000E+0 2.154000E+11 2.154000E+11 2.154000E+11 2.154000E+11 1.800E-4 3.162E+16
340 010_340 34.101 3.924370E-1 6.044841E-1 7.461540E+1 1.770040E+1 3.197750E-1 5.535260E-1 1.000000E+0 3.162000E+11 3.162000E+11 3.162000E+11 3.162000E+11 1.800E-4 3.162E+16
340 011_340 34.101 3.883450E-1 5.748302E-1 7.443130E+1 1.661550E+1 3.160060E-1 5.257966E-1 1.000000E+0 4.642000E+11 4.642000E+11 4.642000E+11 4.642000E+11 1.800E-4 3.162E+16
