N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.000E+17 315 1.500E-4 1.207507810E+00 1.243861918E+00
1.468000E+10 1.000E+17 315 1.500E-4 1.217707409E+00 1.244541848E+00
2.154000E+10 1.000E+17 315 1.500E-4 1.226554463E+00 1.245441460E+00
3.162000E+10 1.000E+17 315 1.500E-4 1.233438947E+00 1.246689526E+00
4.642000E+10 1.000E+17 315 1.500E-4 1.239241476E+00 1.248320994E+00
6.813000E+10 1.000E+17 315 1.500E-4 1.244227272E+00 1.250429922E+00
1.000000E+11 1.000E+17 315 1.500E-4 1.248849354E+00 1.253036463E+00
1.468000E+11 1.000E+17 315 1.500E-4 1.253289829E+00 1.256101309E+00
2.154000E+11 1.000E+17 315 1.500E-4 1.257647057E+00 1.259550834E+00
3.162000E+11 1.000E+17 315 1.500E-4 1.261928008E+00 1.263222284E+00
4.642000E+11 1.000E+17 315 1.500E-4 1.266107910E+00 1.267022407E+00
6.813000E+11 1.000E+17 315 1.500E-4 1.270176466E+00 1.270846215E+00
1.000000E+12 1.000E+17 315 1.500E-4 1.274131951E+00 1.274637556E+00
1.468000E+12 1.000E+17 315 1.500E-4 1.278041327E+00 1.278438067E+00
2.154000E+12 1.000E+17 315 1.500E-4 1.281959803E+00 1.282280492E+00
3.162000E+12 1.000E+17 315 1.500E-4 1.285956418E+00 1.286221928E+00
4.642000E+12 1.000E+17 315 1.500E-4 1.290094403E+00 1.290318197E+00
6.813000E+12 1.000E+17 315 1.500E-4 1.294454091E+00 1.294646100E+00
1.000000E+13 1.000E+17 315 1.500E-4 1.299064353E+00 1.299228943E+00
