fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
001_330 001_330.dat 330 35.134 1.000000000E+00 0.000000000E+00 9.368803247E-14 1.000000000E+20 1.204768122E+00 1.174045765E-14 9.711127018E-04 
001_330_SRH 001_330_srh.dat 330 35.134 1.000000000E+00 0.000000000E+00 6.212566060E-14 1.000000000E+20 1.216904310E+00 1.123398933E-14 1.500405182E-03 
002_330 002_330.dat 330 35.134 1.000000000E+00 0.000000000E+00 1.225244655E-13 1.000000000E+20 1.208498354E+00 1.698876564E-14 1.100035670E-03 
002_330_SRH 002_330_srh.dat 330 35.134 1.000000000E+00 0.000000000E+00 9.099277332E-14 1.000000000E+20 1.216971195E+00 1.648638504E-14 1.504109049E-03 
003_330 003_330.dat 330 35.134 1.000000000E+00 0.000000000E+00 1.646268004E-13 1.000000000E+20 1.211191507E+00 2.469166036E-14 1.209006223E-03 
003_330_SRH 003_330_srh.dat 330 35.134 1.000000000E+00 0.000000000E+00 1.331411489E-13 1.000000000E+20 1.217068678E+00 2.419258865E-14 1.509535991E-03 
004_330 004_330.dat 330 35.134 1.000000000E+00 0.000000000E+00 2.259501224E-13 1.000000000E+20 1.213153296E+00 3.599294801E-14 1.298373463E-03 
004_330_SRH 004_330_srh.dat 330 35.134 1.000000000E+00 0.000000000E+00 1.945321911E-13 1.000000000E+20 1.217210381E+00 3.549681337E-14 1.517479995E-03 
005_330 005_330.dat 330 35.134 1.000000000E+00 0.000000000E+00 3.149567935E-13 1.000000000E+20 1.214624507E+00 5.256766055E-14 1.371535100E-03 
005_330_SRH 005_330_srh.dat 330 35.134 1.000000000E+00 0.000000000E+00 2.836373617E-13 1.000000000E+20 1.217415411E+00 5.207446453E-14 1.529094001E-03 
006_330 006_330.dat 330 35.134 1.000000000E+00 0.000000000E+00 4.434922321E-13 1.000000000E+20 1.215794876E+00 7.686617165E-14 1.433635931E-03 
006_330_SRH 006_330_srh.dat 330 35.134 1.000000000E+00 0.000000000E+00 4.123147841E-13 1.000000000E+20 1.217710179E+00 7.637629261E-14 1.546043009E-03 
007_330 007_330.dat 330 35.134 1.000000000E+00 0.000000000E+00 6.277753688E-13 1.000000000E+20 1.216817639E+00 1.124682502E-13 1.490711520E-03 
007_330_SRH 007_330_srh.dat 330 35.134 1.000000000E+00 0.000000000E+00 5.968005297E-13 1.000000000E+20 1.218130160E+00 1.119824828E-13 1.570714669E-03 
008_330 008_330.dat 330 35.134 1.000000000E+00 0.000000000E+00 8.893068147E-13 1.000000000E+20 1.217822042E+00 1.645948460E-13 1.549382776E-03 
008_330_SRH 008_330_srh.dat 330 35.134 1.000000000E+00 0.000000000E+00 8.586172777E-13 1.000000000E+20 1.218720925E+00 1.641144473E-13 1.606496721E-03 
009_330 009_330.dat 330 35.134 1.000000000E+00 0.000000000E+00 1.255269557E-12 1.000000000E+20 1.218921862E+00 2.408458124E-13 1.617003733E-03 
009_330_SRH 009_330_srh.dat 330 35.134 1.000000000E+00 0.000000000E+00 1.224974503E-12 1.000000000E+20 1.219537583E+00 2.403725740E-13 1.658130017E-03 
010_330 010_330.dat 330 35.134 1.000000000E+00 0.000000000E+00 1.757716328E-12 1.000000000E+20 1.220218254E+00 3.522625401E-13 1.702078078E-03 
010_330_SRH 010_330_srh.dat 330 35.134 1.000000000E+00 0.000000000E+00 1.727953246E-12 1.000000000E+20 1.220640511E+00 3.517988135E-13 1.732127188E-03 
011_330 011_330.dat 330 35.134 1.000000000E+00 0.000000000E+00 2.430720035E-12 1.000000000E+20 1.221796008E+00 5.148636730E-13 1.814790836E-03 
011_330_SRH 011_330_srh.dat 330 35.134 1.000000000E+00 0.000000000E+00 2.401650614E-12 1.000000000E+20 1.222086318E+00 5.144123220E-13 1.837209023E-03 
012_330 012_330.dat 330 35.134 1.000000000E+00 0.000000000E+00 3.305195487E-12 1.000000000E+20 1.223713346E+00 7.518843447E-13 1.967498670E-03 
012_330_SRH 012_330_srh.dat 330 35.134 1.000000000E+00 0.000000000E+00 3.276991673E-12 1.000000000E+20 1.223913772E+00 7.514485668E-13 1.984683651E-03 
013_330 013_330.dat 330 35.134 1.000000000E+00 0.000000000E+00 4.402808076E-12 1.000000000E+20 1.225989608E+00 1.097084541E-12 2.175003209E-03 
013_330_SRH 013_330_srh.dat 330 35.134 1.000000000E+00 0.000000000E+00 4.375626724E-12 1.000000000E+20 1.226128960E+00 1.096667505E-12 2.188611809E-03 
014_330 014_330.dat 330 35.134 1.000000000E+00 0.000000000E+00 5.732861860E-12 1.000000000E+20 1.228598241E+00 1.599694002E-12 2.454321494E-03 
014_330_SRH 014_330_srh.dat 330 35.134 1.000000000E+00 0.000000000E+00 5.706811588E-12 1.000000000E+20 1.228696174E+00 1.599298461E-12 2.465491647E-03 
015_330 015_330.dat 330 35.134 1.000000000E+00 0.000000000E+00 7.296897204E-12 1.000000000E+20 1.231471159E+00 2.331826298E-12 2.823637765E-03 
015_330_SRH 015_330_srh.dat 330 35.134 1.000000000E+00 0.000000000E+00 7.272009120E-12 1.000000000E+20 1.231541088E+00 2.331454148E-12 2.833145308E-03 
016_330 016_330.dat 330 35.134 1.000000000E+00 0.000000000E+00 9.101942520E-12 1.000000000E+20 1.234515628E+00 3.399510306E-12 3.300296749E-03 
