N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
1.645000E+12 4.500E+16 309 1.700E-4 1.259226446E+00 1.259464173E+00 1.259226450E+00 1.259464173E+00
1.928000E+12 4.500E+16 309 1.700E-4 1.260758262E+00 1.260977512E+00 1.260758268E+00 1.260977512E+00
2.260000E+12 4.500E+16 309 1.700E-4 1.262329298E+00 1.262532282E+00 1.262329305E+00 1.262532285E+00
2.649000E+12 4.500E+16 309 1.700E-4 1.263929308E+00 1.264117898E+00 1.263929310E+00 1.264117898E+00
3.105000E+12 4.500E+16 309 1.700E-4 1.265561073E+00 1.265736832E+00 1.265561081E+00 1.265736831E+00
3.639000E+12 4.500E+16 309 1.700E-4 1.267227414E+00 1.267391630E+00 1.267227418E+00 1.267391629E+00
4.266000E+12 4.500E+16 309 1.700E-4 1.268931036E+00 1.269084796E+00 1.268931038E+00 1.269084795E+00
5.000000E+12 4.500E+16 309 1.700E-4 1.270674450E+00 1.270818670E+00 1.270674455E+00 1.270818670E+00
5.000000E+10 4.500E+16 321 1.700E-4 1.290076816E+00 1.302107015E+00 1.232562352E+00 1.239292650E+00
5.861000E+10 4.500E+16 321 1.700E-4 1.291682091E+00 1.302214698E+00 1.234084431E+00 1.239837019E+00
6.869000E+10 4.500E+16 321 1.700E-4 1.293131799E+00 1.302339736E+00 1.235540503E+00 1.240451848E+00
8.051000E+10 4.500E+16 321 1.700E-4 1.294446535E+00 1.302484716E+00 1.236953762E+00 1.241142563E+00
9.437000E+10 4.500E+16 321 1.700E-4 1.295645283E+00 1.302652520E+00 1.238344723E+00 1.241913958E+00
1.106000E+11 4.500E+16 321 1.700E-4 1.296745738E+00 1.302846368E+00 1.239731035E+00 1.242769902E+00
1.296000E+11 4.500E+16 321 1.700E-4 1.297764556E+00 1.303069805E+00 1.241127343E+00 1.243712941E+00
1.520000E+11 4.500E+16 321 1.700E-4 1.298717546E+00 1.303326699E+00 1.242545153E+00 1.244744079E+00
1.781000E+11 4.500E+16 321 1.700E-4 1.299619738E+00 1.303621232E+00 1.243992749E+00 1.245862379E+00
2.088000E+11 4.500E+16 321 1.700E-4 1.300485515E+00 1.303957858E+00 1.245475124E+00 1.247064874E+00
2.447000E+11 4.500E+16 321 1.700E-4 1.301328548E+00 1.304341235E+00 1.246994162E+00 1.248346453E+00
2.868000E+11 4.500E+16 321 1.700E-4 1.302161833E+00 1.304776180E+00 1.248548762E+00 1.249700018E+00
3.362000E+11 4.500E+16 321 1.700E-4 1.302997623E+00 1.305267559E+00 1.250135320E+00 1.251116694E+00
3.940000E+11 4.500E+16 321 1.700E-4 1.303847375E+00 1.305820152E+00 1.251748155E+00 1.252586253E+00
4.618000E+11 4.500E+16 321 1.700E-4 1.304721644E+00 1.306438553E+00 1.253380250E+00 1.254097742E+00
5.413000E+11 4.500E+16 321 1.700E-4 1.305630012E+00 1.307127012E+00 1.255023887E+00 1.255640008E+00
6.345000E+11 4.500E+16 321 1.700E-4 1.306580982E+00 1.307889290E+00 1.256671346E+00 1.257202352E+00
7.437000E+11 4.500E+16 321 1.700E-4 1.307581905E+00 1.308728530E+00 1.258315530E+00 1.258775123E+00
8.717000E+11 4.500E+16 321 1.700E-4 1.308638900E+00 1.309647141E+00 1.259950438E+00 1.260350135E+00
1.022000E+12 4.500E+16 321 1.700E-4 1.309756819E+00 1.310646717E+00 1.261571530E+00 1.261920976E+00
1.198000E+12 4.500E+16 321 1.700E-4 1.310939262E+00 1.311727953E+00 1.263175908E+00 1.263483117E+00
1.404000E+12 4.500E+16 321 1.700E-4 1.312188551E+00 1.312890676E+00 1.264762315E+00 1.265033975E+00
1.645000E+12 4.500E+16 321 1.700E-4 1.313505836E+00 1.314133817E+00 1.266331049E+00 1.266572700E+00
1.928000E+12 4.500E+16 321 1.700E-4 1.314891157E+00 1.315455520E+00 1.267883775E+00 1.268100014E+00
2.260000E+12 4.500E+16 321 1.700E-4 1.316343616E+00 1.316853221E+00 1.269423259E+00 1.269617881E+00
2.649000E+12 4.500E+16 321 1.700E-4 1.317861492E+00 1.318323793E+00 1.270953122E+00 1.271129286E+00
3.105000E+12 4.500E+16 321 1.700E-4 1.319442489E+00 1.319863719E+00 1.272477568E+00 1.272637870E+00
3.639000E+12 4.500E+16 321 1.700E-4 1.321083908E+00 1.321469269E+00 1.274001151E+00 1.274147748E+00
4.266000E+12 4.500E+16 321 1.700E-4 1.322782876E+00 1.323136708E+00 1.275528564E+00 1.275663253E+00
5.000000E+12 4.500E+16 321 1.700E-4 1.324536532E+00 1.324862461E+00 1.277064503E+00 1.277188778E+00
5.000000E+10 4.500E+16 333 1.700E-4 1.292902756E+00 1.308342172E+00 1.227507947E+00 1.237637811E+00
5.861000E+10 4.500E+16 333 1.700E-4 1.295126298E+00 1.308485833E+00 1.229627280E+00 1.238302298E+00
6.869000E+10 4.500E+16 333 1.700E-4 1.297107836E+00 1.308652088E+00 1.231637863E+00 1.239056596E+00
8.051000E+10 4.500E+16 333 1.700E-4 1.298881432E+00 1.308844105E+00 1.233572692E+00 1.239908739E+00
9.437000E+10 4.500E+16 333 1.700E-4 1.300478223E+00 1.309065358E+00 1.235461553E+00 1.240866195E+00
1.106000E+11 4.500E+16 333 1.700E-4 1.301926762E+00 1.309319644E+00 1.237330841E+00 1.241935627E+00
