N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 1.000E+17 293 1.800E-4 1.258781891E+00 1.313392625E+00
1.468000E+10 1.000E+17 293 1.800E-4 1.265794026E+00 1.313518730E+00
2.154000E+10 1.000E+17 293 1.800E-4 1.272134571E+00 1.313702498E+00
3.162000E+10 1.000E+17 293 1.800E-4 1.278172045E+00 1.313969706E+00
4.642000E+10 1.000E+17 293 1.800E-4 1.284086087E+00 1.314356774E+00
6.813000E+10 1.000E+17 293 1.800E-4 1.289898061E+00 1.314914284E+00
1.000000E+11 1.000E+17 293 1.800E-4 1.295540684E+00 1.315710719E+00
1.468000E+11 1.000E+17 293 1.800E-4 1.300946362E+00 1.316835374E+00
2.154000E+11 1.000E+17 293 1.800E-4 1.306118742E+00 1.318398348E+00
3.162000E+11 1.000E+17 293 1.800E-4 1.311159017E+00 1.320524387E+00
4.642000E+11 1.000E+17 293 1.800E-4 1.316242480E+00 1.323336980E+00
6.813000E+11 1.000E+17 293 1.800E-4 1.321562196E+00 1.326931522E+00
1.000000E+12 1.000E+17 293 1.800E-4 1.327265238E+00 1.331342925E+00
1.468000E+12 1.000E+17 293 1.800E-4 1.333406817E+00 1.336521812E+00
2.154000E+12 1.000E+17 293 1.800E-4 1.339941164E+00 1.342336161E+00
3.162000E+12 1.000E+17 293 1.800E-4 1.346751673E+00 1.348603638E+00
4.642000E+12 1.000E+17 293 1.800E-4 1.353700505E+00 1.355138676E+00
6.813000E+12 1.000E+17 293 1.800E-4 1.360667950E+00 1.361787655E+00
1.000000E+13 1.000E+17 293 1.800E-4 1.367565513E+00 1.368438040E+00
