N_Fe N_B T d n_Fe n_Fe_SRH
1.300000E+10 3.162E+16 300 1.800E-4 1.255526473E+00 1.277384925E+00
2.471000E+10 3.162E+16 300 1.800E-4 1.262804498E+00 1.277561981E+00
4.696000E+10 3.162E+16 300 1.800E-4 1.268419770E+00 1.277893988E+00
8.927000E+10 3.162E+16 300 1.800E-4 1.272724055E+00 1.278509777E+00
1.697000E+11 3.162E+16 300 1.800E-4 1.276203956E+00 1.279629135E+00
3.225000E+11 3.162E+16 300 1.800E-4 1.279573045E+00 1.281594418E+00
6.130000E+11 3.162E+16 300 1.800E-4 1.283633299E+00 1.284857812E+00
1.165000E+12 3.162E+16 300 1.800E-4 1.289075044E+00 1.289854271E+00
2.214000E+12 3.162E+16 300 1.800E-4 1.296227147E+00 1.296751661E+00
4.209000E+12 3.162E+16 300 1.800E-4 1.304911320E+00 1.305280000E+00
8.000000E+12 3.162E+16 300 1.800E-4 1.314638404E+00 1.314903131E+00
