N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.400E+15 305 1.800E-4 1.195043971E+00 1.198281159E+00
1.468000E+10 1.400E+15 305 1.800E-4 1.196028625E+00 1.198300353E+00
2.154000E+10 1.400E+15 305 1.800E-4 1.196746140E+00 1.198328431E+00
3.162000E+10 1.400E+15 305 1.800E-4 1.197273429E+00 1.198369484E+00
4.642000E+10 1.400E+15 305 1.800E-4 1.197672954E+00 1.198429387E+00
6.813000E+10 1.400E+15 305 1.800E-4 1.197995630E+00 1.198516590E+00
1.000000E+11 1.400E+15 305 1.800E-4 1.198284515E+00 1.198643061E+00
1.468000E+11 1.400E+15 305 1.800E-4 1.198578564E+00 1.198825518E+00
2.154000E+11 1.400E+15 305 1.800E-4 1.198916331E+00 1.199086815E+00
3.162000E+11 1.400E+15 305 1.800E-4 1.199339078E+00 1.199457270E+00
4.642000E+11 1.400E+15 305 1.800E-4 1.199892978E+00 1.199975458E+00
6.813000E+11 1.400E+15 305 1.800E-4 1.200629786E+00 1.200687907E+00
1.000000E+12 1.400E+15 305 1.800E-4 1.201605533E+00 1.201647058E+00
1.468000E+12 1.400E+15 305 1.800E-4 1.202877214E+00 1.202907437E+00
2.154000E+12 1.400E+15 305 1.800E-4 1.204497926E+00 1.204520456E+00
3.162000E+12 1.400E+15 305 1.800E-4 1.206510925E+00 1.206528211E+00
4.642000E+12 1.400E+15 305 1.800E-4 1.208942248E+00 1.208955930E+00
6.813000E+12 1.400E+15 305 1.800E-4 1.211793004E+00 1.211804167E+00
1.000000E+13 1.400E+15 305 1.800E-4 1.215036063E+00 1.215045413E+00
