N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.778E+15 325 1.500E-4 1.163097116E+00 1.166834277E+00
1.468000E+10 1.778E+15 325 1.500E-4 1.164350941E+00 1.166926634E+00
2.154000E+10 1.778E+15 325 1.500E-4 1.165064573E+00 1.167098321E+00
3.162000E+10 1.778E+15 325 1.500E-4 1.165927603E+00 1.167290938E+00
4.642000E+10 1.778E+15 325 1.500E-4 1.166648265E+00 1.167571444E+00
6.813000E+10 1.778E+15 325 1.500E-4 1.167355239E+00 1.167977157E+00
1.000000E+11 1.778E+15 325 1.500E-4 1.168144571E+00 1.168561638E+00
1.468000E+11 1.778E+15 325 1.500E-4 1.169129608E+00 1.169416185E+00
2.154000E+11 1.778E+15 325 1.500E-4 1.170410744E+00 1.170602887E+00
3.162000E+11 1.778E+15 325 1.500E-4 1.172140571E+00 1.172273749E+00
4.642000E+11 1.778E+15 325 1.500E-4 1.174418186E+00 1.174508247E+00
6.813000E+11 1.778E+15 325 1.500E-4 1.177395760E+00 1.177459509E+00
1.000000E+12 1.778E+15 325 1.500E-4 1.181095436E+00 1.181141333E+00
1.468000E+12 1.778E+15 325 1.500E-4 1.185435846E+00 1.185469641E+00
2.154000E+12 1.778E+15 325 1.500E-4 1.190180044E+00 1.190205584E+00
3.162000E+12 1.778E+15 325 1.500E-4 1.194976730E+00 1.194996550E+00
4.642000E+12 1.778E+15 325 1.500E-4 1.199488760E+00 1.199504514E+00
6.813000E+12 1.778E+15 325 1.500E-4 1.203527719E+00 1.203540496E+00
1.000000E+13 1.778E+15 325 1.500E-4 1.207095505E+00 1.207106033E+00
