T file kT1 TDD TDD1 d N_B
320 001_320 36.232 1.300000E+10 1.300000E+10 1.800E-4 1.000E+16
320 002_320 36.232 2.471000E+10 2.471000E+10 1.800E-4 1.000E+16
320 003_320 36.232 4.696000E+10 4.696000E+10 1.800E-4 1.000E+16
320 004_320 36.232 8.927000E+10 8.927000E+10 1.800E-4 1.000E+16
320 005_320 36.232 1.697000E+11 1.697000E+11 1.800E-4 1.000E+16
320 006_320 36.232 3.225000E+11 3.225000E+11 1.800E-4 1.000E+16
320 007_320 36.232 6.130000E+11 6.130000E+11 1.800E-4 1.000E+16
320 008_320 36.232 1.165000E+12 1.165000E+12 1.800E-4 1.000E+16
320 009_320 36.232 2.214000E+12 2.214000E+12 1.800E-4 1.000E+16
320 010_320 36.232 4.209000E+12 4.209000E+12 1.800E-4 1.000E+16
320 011_320 36.232 8.000000E+12 8.000000E+12 1.800E-4 1.000E+16
