fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
001_325 001_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 5.114879711E-14 1.000000000E+20 1.181115332E+00 2.701243339E-15 2.324117045E-04 
001_325_SRH 001_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 2.165324690E-14 1.000000000E+20 1.231176570E+00 2.225235255E-15 7.119700168E-04 
002_325 002_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 8.762684701E-14 1.000000000E+20 1.218620160E+00 7.311088651E-15 5.334959477E-04 
002_325_SRH 002_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 6.051177140E-14 1.000000000E+20 1.237167046E+00 6.915500329E-15 8.260362466E-04 
003_325 003_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 1.666843054E-13 1.000000000E+20 1.243710535E+00 2.147105432E-14 9.787170164E-04 
003_325_SRH 003_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 1.440460838E-13 1.000000000E+20 1.249444474E+00 2.116568783E-14 1.151003732E-03 
004_325 004_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 3.024954453E-13 1.000000000E+20 1.264161023E+00 6.473195737E-14 1.810163611E-03 
004_325_SRH 004_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 2.848384271E-13 1.000000000E+20 1.265827917E+00 6.451606406E-14 1.927256126E-03 
005_325 005_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 5.276311702E-13 1.000000000E+20 1.280019858E+00 1.991574765E-13 3.321882386E-03 
005_325_SRH 005_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 5.133254474E-13 1.000000000E+20 1.280583393E+00 1.990118896E-13 3.410776787E-03 
006_325 006_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 9.179470618E-13 1.000000000E+20 1.292590782E+00 6.219871457E-13 5.804997178E-03 
006_325_SRH 006_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 9.054662787E-13 1.000000000E+20 1.292839406E+00 6.219354618E-13 5.876126160E-03 
007_325 007_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 1.592886754E-12 1.000000000E+20 1.304600738E+00 1.962289579E-12 9.619147825E-03 
007_325_SRH 007_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 1.581445331E-12 1.000000000E+20 1.304742514E+00 1.962401399E-12 9.673778368E-03 
