T file kT1 TDD TDD1 TDD11 TDD111 d N_B
314 001_314 36.924 1.000000E+10 1.000000E+10 1.000000E+10 1.000000E+10 2.100E-4 5.623E+16
314 002_314 36.924 1.468000E+10 1.468000E+10 1.468000E+10 1.468000E+10 2.100E-4 5.623E+16
314 003_314 36.924 2.154000E+10 2.154000E+10 2.154000E+10 2.154000E+10 2.100E-4 5.623E+16
314 004_314 36.924 3.162000E+10 3.162000E+10 3.162000E+10 3.162000E+10 2.100E-4 5.623E+16
314 005_314 36.924 4.642000E+10 4.642000E+10 4.642000E+10 4.642000E+10 2.100E-4 5.623E+16
314 006_314 36.924 6.813000E+10 6.813000E+10 6.813000E+10 6.813000E+10 2.100E-4 5.623E+16
314 007_314 36.924 1.000000E+11 1.000000E+11 1.000000E+11 1.000000E+11 2.100E-4 5.623E+16
314 008_314 36.924 1.468000E+11 1.468000E+11 1.468000E+11 1.468000E+11 2.100E-4 5.623E+16
314 009_314 36.924 2.154000E+11 2.154000E+11 2.154000E+11 2.154000E+11 2.100E-4 5.623E+16
314 010_314 36.924 3.162000E+11 3.162000E+11 3.162000E+11 3.162000E+11 2.100E-4 5.623E+16
314 011_314 36.924 4.642000E+11 4.642000E+11 4.642000E+11 4.642000E+11 2.100E-4 5.623E+16
314 012_314 36.924 6.813000E+11 6.813000E+11 6.813000E+11 6.813000E+11 2.100E-4 5.623E+16
314 013_314 36.924 1.000000E+12 1.000000E+12 1.000000E+12 1.000000E+12 2.100E-4 5.623E+16
314 014_314 36.924 1.468000E+12 1.468000E+12 1.468000E+12 1.468000E+12 2.100E-4 5.623E+16
314 015_314 36.924 2.154000E+12 2.154000E+12 2.154000E+12 2.154000E+12 2.100E-4 5.623E+16
314 016_314 36.924 3.162000E+12 3.162000E+12 3.162000E+12 3.162000E+12 2.100E-4 5.623E+16
314 017_314 36.924 4.642000E+12 4.642000E+12 4.642000E+12 4.642000E+12 2.100E-4 5.623E+16
314 018_314 36.924 6.813000E+12 6.813000E+12 6.813000E+12 6.813000E+12 2.100E-4 5.623E+16
314 019_314 36.924 1.000000E+13 1.000000E+13 1.000000E+13 1.000000E+13 2.100E-4 5.623E+16
