N_Fe N_B T d n_FeB n_FeB_SRH
5.000000E+10 4.500E+16 297 2.000E-4 1.224677516E+00 1.227727905E+00
5.861000E+10 4.500E+16 297 2.000E-4 1.225631149E+00 1.228269296E+00
6.869000E+10 4.500E+16 297 2.000E-4 1.226588499E+00 1.228872161E+00
8.051000E+10 4.500E+16 297 2.000E-4 1.227560085E+00 1.229539578E+00
9.437000E+10 4.500E+16 297 2.000E-4 1.228554951E+00 1.230274007E+00
1.106000E+11 4.500E+16 297 2.000E-4 1.229580608E+00 1.231077099E+00
1.296000E+11 4.500E+16 297 2.000E-4 1.230643087E+00 1.231949715E+00
1.520000E+11 4.500E+16 297 2.000E-4 1.231746928E+00 1.232891846E+00
1.781000E+11 4.500E+16 297 2.000E-4 1.232895367E+00 1.233902716E+00
2.088000E+11 4.500E+16 297 2.000E-4 1.234090420E+00 1.234980825E+00
2.447000E+11 4.500E+16 297 2.000E-4 1.235333127E+00 1.236124118E+00
2.868000E+11 4.500E+16 297 2.000E-4 1.236623697E+00 1.237330120E+00
3.362000E+11 4.500E+16 297 2.000E-4 1.237961808E+00 1.238596174E+00
3.940000E+11 4.500E+16 297 2.000E-4 1.239346755E+00 1.239919576E+00
4.618000E+11 4.500E+16 297 2.000E-4 1.240777694E+00 1.241297735E+00
5.413000E+11 4.500E+16 297 2.000E-4 1.242253807E+00 1.242728376E+00
6.345000E+11 4.500E+16 297 2.000E-4 1.243778422E+00 1.244215223E+00
7.437000E+11 4.500E+16 297 2.000E-4 1.245343213E+00 1.245745575E+00
8.717000E+11 4.500E+16 297 2.000E-4 1.246951805E+00 1.247323642E+00
1.022000E+12 4.500E+16 297 2.000E-4 1.248605281E+00 1.248950168E+00
1.198000E+12 4.500E+16 297 2.000E-4 1.250302791E+00 1.250623524E+00
1.404000E+12 4.500E+16 297 2.000E-4 1.252047365E+00 1.252346476E+00
1.645000E+12 4.500E+16 297 2.000E-4 1.253837270E+00 1.254116688E+00
1.928000E+12 4.500E+16 297 2.000E-4 1.255677294E+00 1.255938831E+00
2.260000E+12 4.500E+16 297 2.000E-4 1.257566783E+00 1.257811885E+00
2.649000E+12 4.500E+16 297 2.000E-4 1.259504012E+00 1.259733843E+00
3.105000E+12 4.500E+16 297 2.000E-4 1.261496010E+00 1.261711921E+00
3.639000E+12 4.500E+16 297 2.000E-4 1.263538948E+00 1.263741648E+00
4.266000E+12 4.500E+16 297 2.000E-4 1.265628690E+00 1.265818913E+00
5.000000E+12 4.500E+16 297 2.000E-4 1.267774344E+00 1.267952645E+00
