N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
2.154000E+11 1.000E+15 300 1.500E-4 1.163184927E+00 1.163220146E+00 1.197800683E+00 1.197972454E+00
3.162000E+11 1.000E+15 300 1.500E-4 1.166826986E+00 1.166852052E+00 1.198090245E+00 1.198209001E+00
4.642000E+11 1.000E+15 300 1.500E-4 1.171441276E+00 1.171459514E+00 1.198464805E+00 1.198547320E+00
6.813000E+11 1.000E+15 300 1.500E-4 1.176976445E+00 1.176990117E+00 1.198968477E+00 1.199026244E+00
1.000000E+12 1.000E+15 300 1.500E-4 1.183177755E+00 1.183188365E+00 1.199654268E+00 1.199695153E+00
1.468000E+12 1.000E+15 300 1.500E-4 1.189603886E+00 1.189612408E+00 1.200584332E+00 1.200613700E+00
2.154000E+12 1.000E+15 300 1.500E-4 1.195767692E+00 1.195774731E+00 1.201828007E+00 1.201849516E+00
3.162000E+12 1.000E+15 300 1.500E-4 1.201340382E+00 1.201346309E+00 1.203456886E+00 1.203473026E+00
4.642000E+12 1.000E+15 300 1.500E-4 1.206263364E+00 1.206268415E+00 1.205536061E+00 1.205548514E+00
6.813000E+12 1.000E+15 300 1.500E-4 1.210681718E+00 1.210686061E+00 1.208099746E+00 1.208109641E+00
1.000000E+13 1.000E+15 300 1.500E-4 1.214787132E+00 1.214790887E+00 1.211180717E+00 1.211188800E+00
1.000000E+10 1.000E+15 305 1.500E-4 1.097058410E+00 1.096925553E+00 1.191901927E+00 1.194858484E+00
1.468000E+10 1.000E+15 305 1.500E-4 1.097463564E+00 1.097359560E+00 1.192796744E+00 1.194874242E+00
2.154000E+10 1.000E+15 305 1.500E-4 1.098069078E+00 1.097992018E+00 1.193449276E+00 1.194897315E+00
3.162000E+10 1.000E+15 305 1.500E-4 1.098965672E+00 1.098910593E+00 1.193927759E+00 1.194931058E+00
4.642000E+10 1.000E+15 305 1.500E-4 1.100276537E+00 1.100238235E+00 1.194288035E+00 1.194980348E+00
6.813000E+10 1.000E+15 305 1.500E-4 1.102169460E+00 1.102143486E+00 1.194575668E+00 1.195052184E+00
1.000000E+11 1.000E+15 305 1.500E-4 1.104866563E+00 1.104849455E+00 1.194828944E+00 1.195156557E+00
1.468000E+11 1.000E+15 305 1.500E-4 1.108646386E+00 1.108635608E+00 1.195082241E+00 1.195307503E+00
2.154000E+11 1.000E+15 305 1.500E-4 1.113826905E+00 1.113820651E+00 1.195369280E+00 1.195524386E+00
3.162000E+11 1.000E+15 305 1.500E-4 1.120711853E+00 1.120708885E+00 1.195726046E+00 1.195833158E+00
4.642000E+11 1.000E+15 305 1.500E-4 1.129481870E+00 1.129481319E+00 1.196192912E+00 1.196267247E+00
6.813000E+11 1.000E+15 305 1.500E-4 1.140033338E+00 1.140034589E+00 1.196815309E+00 1.196867272E+00
1.000000E+12 1.000E+15 305 1.500E-4 1.151828714E+00 1.151831276E+00 1.197642228E+00 1.197678943E+00
1.468000E+12 1.000E+15 305 1.500E-4 1.163900749E+00 1.163904182E+00 1.198722336E+00 1.198748657E+00
2.154000E+12 1.000E+15 305 1.500E-4 1.175136053E+00 1.175139948E+00 1.200098978E+00 1.200118215E+00
3.162000E+12 1.000E+15 305 1.500E-4 1.184739442E+00 1.184743412E+00 1.201807091E+00 1.201821497E+00
4.642000E+12 1.000E+15 305 1.500E-4 1.192528490E+00 1.192532278E+00 1.203873758E+00 1.203884855E+00
6.813000E+12 1.000E+15 305 1.500E-4 1.198822792E+00 1.198826260E+00 1.206318835E+00 1.206327638E+00
1.000000E+13 1.000E+15 305 1.500E-4 1.204092133E+00 1.204095231E+00 1.209148993E+00 1.209156185E+00
1.000000E+10 1.000E+15 310 1.500E-4 1.015549313E+00 1.016905533E+00 1.183972697E+00 1.186658265E+00
1.468000E+10 1.000E+15 310 1.500E-4 1.015960341E+00 1.016911237E+00 1.184813657E+00 1.186687704E+00
2.154000E+10 1.000E+15 310 1.500E-4 1.016258169E+00 1.016919706E+00 1.185431054E+00 1.186730780E+00
3.162000E+10 1.000E+15 310 1.500E-4 1.016474453E+00 1.016932340E+00 1.185896366E+00 1.186793724E+00
4.642000E+10 1.000E+15 310 1.500E-4 1.016635321E+00 1.016951317E+00 1.186267836E+00 1.186885517E+00
6.813000E+10 1.000E+15 310 1.500E-4 1.016762246E+00 1.016980075E+00 1.186594543E+00 1.187018953E+00
1.000000E+11 1.000E+15 310 1.500E-4 1.016873905E+00 1.017024155E+00 1.186920678E+00 1.187212119E+00
1.468000E+11 1.000E+15 310 1.500E-4 1.016988751E+00 1.017092646E+00 1.187289730E+00 1.187489956E+00
2.154000E+11 1.000E+15 310 1.500E-4 1.025316171E+00 1.025234975E+00 1.187748191E+00 1.187885988E+00
3.162000E+11 1.000E+15 310 1.500E-4 1.036932513E+00 1.036878427E+00 1.188348114E+00 1.188443255E+00
4.642000E+11 1.000E+15 310 1.500E-4 1.052007923E+00 1.051972758E+00 1.189147360E+00 1.189213397E+00
6.813000E+11 1.000E+15 310 1.500E-4 1.070533155E+00 1.070511318E+00 1.190205646E+00 1.190251845E+00
1.000000E+12 1.000E+15 310 1.500E-4 1.091691441E+00 1.091679010E+00 1.191574605E+00 1.191607295E+00
1.468000E+12 1.000E+15 310 1.500E-4 1.113721358E+00 1.113715421E+00 1.193282448E+00 1.193305959E+00
2.154000E+12 1.000E+15 310 1.500E-4 1.134347327E+00 1.134345620E+00 1.195319464E+00 1.195336723E+00
3.162000E+12 1.000E+15 310 1.500E-4 1.151741144E+00 1.151741910E+00 1.197637185E+00 1.197650180E+00
4.642000E+12 1.000E+15 310 1.500E-4 1.165301163E+00 1.165303137E+00 1.200170762E+00 1.200180834E+00
6.813000E+12 1.000E+15 310 1.500E-4 1.175561013E+00 1.175563411E+00 1.202873871E+00 1.202881898E+00
1.000000E+13 1.000E+15 310 1.500E-4 1.183485225E+00 1.183487651E+00 1.205736843E+00 1.205743424E+00
1.000000E+10 1.000E+15 315 1.500E-4 1.015918062E+00 1.017352922E+00 1.162016012E+00 1.164138539E+00
