T file kT1 TDD TDD1 TDD11 TDD111 d N_B
315 001_315 36.807 1.300000E+10 1.300000E+10 1.300000E+10 1.300000E+10 1.800E-4 5.623E+15
315 002_315 36.807 2.471000E+10 2.471000E+10 2.471000E+10 2.471000E+10 1.800E-4 5.623E+15
315 003_315 36.807 4.696000E+10 4.696000E+10 4.696000E+10 4.696000E+10 1.800E-4 5.623E+15
315 004_315 36.807 8.927000E+10 8.927000E+10 8.927000E+10 8.927000E+10 1.800E-4 5.623E+15
315 005_315 36.807 1.697000E+11 1.697000E+11 1.697000E+11 1.697000E+11 1.800E-4 5.623E+15
315 006_315 36.807 3.225000E+11 3.225000E+11 3.225000E+11 3.225000E+11 1.800E-4 5.623E+15
315 007_315 36.807 6.130000E+11 6.130000E+11 6.130000E+11 6.130000E+11 1.800E-4 5.623E+15
315 008_315 36.807 1.165000E+12 1.165000E+12 1.165000E+12 1.165000E+12 1.800E-4 5.623E+15
315 009_315 36.807 2.214000E+12 2.214000E+12 2.214000E+12 2.214000E+12 1.800E-4 5.623E+15
315 010_315 36.807 4.209000E+12 4.209000E+12 4.209000E+12 4.209000E+12 1.800E-4 5.623E+15
315 011_315 36.807 8.000000E+12 8.000000E+12 8.000000E+12 8.000000E+12 1.800E-4 5.623E+15
