T file kT1 TDD TDD1 d N_B
295 001_295 39.302 1.300000E+10 1.300000E+10 1.800E-4 3.162E+16
295 002_295 39.302 2.471000E+10 2.471000E+10 1.800E-4 3.162E+16
295 003_295 39.302 4.696000E+10 4.696000E+10 1.800E-4 3.162E+16
295 004_295 39.302 8.927000E+10 8.927000E+10 1.800E-4 3.162E+16
295 005_295 39.302 1.697000E+11 1.697000E+11 1.800E-4 3.162E+16
295 006_295 39.302 3.225000E+11 3.225000E+11 1.800E-4 3.162E+16
295 007_295 39.302 6.130000E+11 6.130000E+11 1.800E-4 3.162E+16
295 008_295 39.302 1.165000E+12 1.165000E+12 1.800E-4 3.162E+16
295 009_295 39.302 2.214000E+12 2.214000E+12 1.800E-4 3.162E+16
295 010_295 39.302 4.209000E+12 4.209000E+12 1.800E-4 3.162E+16
295 011_295 39.302 8.000000E+12 8.000000E+12 1.800E-4 3.162E+16
