N_Fe N_B T d n_FeB n_FeB_SRH
1.300000E+10 1.000E+16 320 1.800E-4 1.216449127E+00 1.226740706E+00
2.471000E+10 1.000E+16 320 1.800E-4 1.221264130E+00 1.226903123E+00
4.696000E+10 1.000E+16 320 1.800E-4 1.090416220E+00 1.227205914E+00
8.927000E+10 1.000E+16 320 1.800E-4 1.226136275E+00 1.227761175E+00
1.697000E+11 1.000E+16 320 1.800E-4 1.227885577E+00 1.228749669E+00
3.225000E+11 1.000E+16 320 1.800E-4 1.229962657E+00 1.230422978E+00
6.130000E+11 1.000E+16 320 1.800E-4 1.232793037E+00 1.233041446E+00
1.165000E+12 1.000E+16 320 1.800E-4 1.236585096E+00 1.236723835E+00
2.214000E+12 1.000E+16 320 1.800E-4 1.241243036E+00 1.241325896E+00
4.209000E+12 1.000E+16 320 1.800E-4 1.246492073E+00 1.246546353E+00
8.000000E+12 1.000E+16 320 1.800E-4 1.252144500E+00 1.252183395E+00
