T file kT1 TDD TDD1 d N_B
325 001_325 35.674 1.000000E+10 1.000000E+10 1.800E-4 1.778E+16
325 002_325 35.674 1.468000E+10 1.468000E+10 1.800E-4 1.778E+16
325 003_325 35.674 2.154000E+10 2.154000E+10 1.800E-4 1.778E+16
325 004_325 35.674 3.162000E+10 3.162000E+10 1.800E-4 1.778E+16
325 005_325 35.674 4.642000E+10 4.642000E+10 1.800E-4 1.778E+16
325 006_325 35.674 6.813000E+10 6.813000E+10 1.800E-4 1.778E+16
325 007_325 35.674 1.000000E+11 1.000000E+11 1.800E-4 1.778E+16
325 008_325 35.674 1.468000E+11 1.468000E+11 1.800E-4 1.778E+16
325 009_325 35.674 2.154000E+11 2.154000E+11 1.800E-4 1.778E+16
325 010_325 35.674 3.162000E+11 3.162000E+11 1.800E-4 1.778E+16
325 011_325 35.674 4.642000E+11 4.642000E+11 1.800E-4 1.778E+16
325 012_325 35.674 6.813000E+11 6.813000E+11 1.800E-4 1.778E+16
325 013_325 35.674 1.000000E+12 1.000000E+12 1.800E-4 1.778E+16
325 014_325 35.674 1.468000E+12 1.468000E+12 1.800E-4 1.778E+16
325 015_325 35.674 2.154000E+12 2.154000E+12 1.800E-4 1.778E+16
325 016_325 35.674 3.162000E+12 3.162000E+12 1.800E-4 1.778E+16
325 017_325 35.674 4.642000E+12 4.642000E+12 1.800E-4 1.778E+16
325 018_325 35.674 6.813000E+12 6.813000E+12 1.800E-4 1.778E+16
325 019_325 35.674 1.000000E+13 1.000000E+13 1.800E-4 1.778E+16
