N_Fe N_B T d n_Fe n_Fe_SRH
5.000000E+10 7.000E+15 321 2.000E-4 1.227418838E+00 1.229402840E+00
5.861000E+10 7.000E+15 321 2.000E-4 1.228107170E+00 1.229803541E+00
6.869000E+10 7.000E+15 321 2.000E-4 1.228812791E+00 1.230262843E+00
8.051000E+10 7.000E+15 321 2.000E-4 1.229548185E+00 1.230787428E+00
9.437000E+10 7.000E+15 321 2.000E-4 1.230325186E+00 1.231384126E+00
1.106000E+11 7.000E+15 321 2.000E-4 1.231154922E+00 1.232059738E+00
1.296000E+11 7.000E+15 321 2.000E-4 1.232047501E+00 1.232820678E+00
1.520000E+11 7.000E+15 321 2.000E-4 1.233011870E+00 1.233672652E+00
1.781000E+11 7.000E+15 321 2.000E-4 1.234055362E+00 1.234620246E+00
2.088000E+11 7.000E+15 321 2.000E-4 1.235183355E+00 1.235666474E+00
2.447000E+11 7.000E+15 321 2.000E-4 1.236398824E+00 1.236812264E+00
2.868000E+11 7.000E+15 321 2.000E-4 1.237701977E+00 1.238056097E+00
3.362000E+11 7.000E+15 321 2.000E-4 1.239090005E+00 1.239393639E+00
3.940000E+11 7.000E+15 321 2.000E-4 1.240556937E+00 1.240817633E+00
4.618000E+11 7.000E+15 321 2.000E-4 1.242093824E+00 1.242318035E+00
5.413000E+11 7.000E+15 321 2.000E-4 1.243689167E+00 1.243882360E+00
6.345000E+11 7.000E+15 321 2.000E-4 1.245329580E+00 1.245496435E+00
7.437000E+11 7.000E+15 321 2.000E-4 1.247000781E+00 1.247145275E+00
8.717000E+11 7.000E+15 321 2.000E-4 1.248688672E+00 1.248814162E+00
1.022000E+12 7.000E+15 321 2.000E-4 1.250380322E+00 1.250489674E+00
1.198000E+12 7.000E+15 321 2.000E-4 1.252064878E+00 1.252160517E+00
1.404000E+12 7.000E+15 321 2.000E-4 1.253734107E+00 1.253818071E+00
1.645000E+12 7.000E+15 321 2.000E-4 1.255382555E+00 1.255456588E+00
1.928000E+12 7.000E+15 321 2.000E-4 1.257007476E+00 1.257073037E+00
2.260000E+12 7.000E+15 321 2.000E-4 1.258608324E+00 1.258666671E+00
2.649000E+12 7.000E+15 321 2.000E-4 1.260186304E+00 1.260238478E+00
3.105000E+12 7.000E+15 321 2.000E-4 1.261743764E+00 1.261790671E+00
3.639000E+12 7.000E+15 321 2.000E-4 1.263283743E+00 1.263326117E+00
4.266000E+12 7.000E+15 321 2.000E-4 1.264809604E+00 1.264848090E+00
5.000000E+12 7.000E+15 321 2.000E-4 1.266324853E+00 1.266359982E+00
