T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD TDD1 TDD11 TDD111 d N_B
335 001_335 34.61 4.177930E-1 7.433309E-1 7.577090E+1 2.353130E+1 3.433890E-1 6.852674E-1 1.000000E+0 1.000000E+10 1.000000E+10 1.000000E+10 1.000000E+10 1.800E-4 1.000E+15
335 002_335 34.61 4.168580E-1 7.429124E-1 7.568550E+1 2.343900E+1 3.423730E-1 6.846037E-1 1.000000E+0 1.468000E+10 1.468000E+10 1.468000E+10 1.468000E+10 1.800E-4 1.000E+15
335 003_335 34.61 4.155380E-1 7.422999E-1 7.556630E+1 2.330870E+1 3.409280E-1 6.836850E-1 1.000000E+0 2.154000E+10 2.154000E+10 2.154000E+10 2.154000E+10 1.800E-4 1.000E+15
335 004_335 34.61 4.137000E-1 7.414046E-1 7.540370E+1 2.312770E+1 3.389360E-1 6.823649E-1 1.000000E+0 3.162000E+10 3.162000E+10 3.162000E+10 3.162000E+10 1.800E-4 1.000E+15
335 005_335 34.61 4.111870E-1 7.400988E-1 7.518920E+1 2.288150E+1 3.362210E-1 6.805501E-1 1.000000E+0 4.642000E+10 4.642000E+10 4.642000E+10 4.642000E+10 1.800E-4 1.000E+15
335 006_335 34.61 4.077270E-1 7.381994E-1 7.493730E+1 2.255490E+1 3.326460E-1 6.780436E-1 1.000000E+0 6.813000E+10 6.813000E+10 6.813000E+10 6.813000E+10 1.800E-4 1.000E+15
335 007_335 34.61 4.032280E-1 7.354484E-1 7.463620E+1 2.213360E+1 3.280960E-1 6.746092E-1 1.000000E+0 1.000000E+11 1.000000E+11 1.000000E+11 1.000000E+11 1.800E-4 1.000E+15
335 008_335 34.61 3.975390E-1 7.314877E-1 7.430560E+1 2.160770E+1 3.225100E-1 6.699854E-1 1.000000E+0 1.468000E+11 1.468000E+11 1.468000E+11 1.468000E+11 1.800E-4 1.000E+15
335 009_335 34.61 3.906560E-1 7.258346E-1 7.395450E+1 2.096990E+1 3.159670E-1 6.636753E-1 1.000000E+0 2.154000E+11 2.154000E+11 2.154000E+11 2.154000E+11 1.800E-4 1.000E+15
335 010_335 34.61 3.825710E-1 7.178644E-1 7.361780E+1 2.021790E+1 3.086040E-1 6.551431E-1 1.000000E+0 3.162000E+11 3.162000E+11 3.162000E+11 3.162000E+11 1.800E-4 1.000E+15
335 011_335 34.61 3.735860E-1 7.068183E-1 7.328120E+1 1.935040E+1 3.006350E-1 6.436533E-1 1.000000E+0 4.642000E+11 4.642000E+11 4.642000E+11 4.642000E+11 1.800E-4 1.000E+15
335 012_335 34.61 3.640050E-1 6.918638E-1 7.293610E+1 1.836830E+1 2.922560E-1 6.285029E-1 1.000000E+0 6.813000E+11 6.813000E+11 6.813000E+11 6.813000E+11 1.800E-4 1.000E+15
335 013_335 34.61 3.541560E-1 6.722375E-1 7.256710E+1 1.727650E+1 2.836820E-1 6.090123E-1 1.000000E+0 1.000000E+12 1.000000E+12 1.000000E+12 1.000000E+12 1.800E-4 1.000E+15
335 014_335 34.61 3.443260E-1 6.474767E-1 7.216180E+1 1.608790E+1 2.750880E-1 5.848298E-1 1.000000E+0 1.468000E+12 1.468000E+12 1.468000E+12 1.468000E+12 1.800E-4 1.000E+15
335 015_335 34.61 3.347180E-1 6.176829E-1 7.171640E+1 1.482730E+1 2.666110E-1 5.561408E-1 1.000000E+0 2.154000E+12 2.154000E+12 2.154000E+12 2.154000E+12 1.800E-4 1.000E+15
335 016_335 34.61 3.254520E-1 5.836676E-1 7.123450E+1 1.353140E+1 2.583890E-1 5.236835E-1 1.000000E+0 3.162000E+12 3.162000E+12 3.162000E+12 3.162000E+12 1.800E-4 1.000E+15
335 017_335 34.61 3.165610E-1 5.468176E-1 7.072050E+1 1.224180E+1 2.504200E-1 4.888512E-1 1.000000E+0 4.642000E+12 4.642000E+12 4.642000E+12 4.642000E+12 1.800E-4 1.000E+15
335 018_335 34.61 3.080020E-1 5.086690E-1 7.017580E+1 1.099450E+1 2.427050E-1 4.529990E-1 1.000000E+0 6.813000E+12 6.813000E+12 6.813000E+12 6.813000E+12 1.800E-4 1.000E+15
335 019_335 34.61 2.996620E-1 4.704235E-1 6.959560E+1 9.810700E+0 2.351270E-1 4.172533E-1 1.000000E+0 1.000000E+13 1.000000E+13 1.000000E+13 1.000000E+13 1.800E-4 1.000E+15
335 020_335 34.61 2.913150E-1 4.327216E-1 6.898650E+1 8.696300E+0 2.275880E-1 3.821090E-1 1.000000E+0 1.468000E+13 1.468000E+13 1.468000E+13 1.468000E+13 1.800E-4 1.000E+15
335 021_335 34.61 2.828490E-1 3.957484E-1 6.832730E+1 7.648300E+0 2.199510E-1 3.477290E-1 1.000000E+0 2.154000E+13 2.154000E+13 2.154000E+13 2.154000E+13 1.800E-4 1.000E+15
335 022_335 34.61 2.741560E-1 3.595758E-1 6.759810E+1 6.663800E+0 2.120800E-1 3.142118E-1 1.000000E+0 3.162000E+13 3.162000E+13 3.162000E+13 3.162000E+13 1.800E-4 1.000E+15
335 023_335 34.61 2.651480E-1 3.243853E-1 6.678440E+1 5.744100E+0 2.039160E-1 2.816911E-1 1.000000E+0 4.642000E+13 4.642000E+13 4.642000E+13 4.642000E+13 1.800E-4 1.000E+15
335 024_335 34.61 2.557610E-1 2.905239E-1 6.587230E+1 4.894600E+0 1.954000E-1 2.504916E-1 1.000000E+0 6.813000E+13 6.813000E+13 6.813000E+13 6.813000E+13 1.800E-4 1.000E+15
335 025_335 34.61 2.459370E-1 2.584178E-1 6.484580E+1 4.121200E+0 1.864940E-1 2.209848E-1 1.000000E+0 1.000000E+14 1.000000E+14 1.000000E+14 1.000000E+14 1.800E-4 1.000E+15
