N_Fe N_B T d n_Fe n_Fe_SRH
1.100000E+11 8.000E+16 292 2.200E-4 1.289160614E+00 1.303417555E+00
1.302000E+11 8.000E+16 292 2.200E-4 1.291258178E+00 1.304022963E+00
1.540000E+11 8.000E+16 292 2.200E-4 1.293324815E+00 1.304719901E+00
1.822000E+11 8.000E+16 292 2.200E-4 1.295371174E+00 1.305518807E+00
2.156000E+11 8.000E+16 292 2.200E-4 1.297410509E+00 1.306430239E+00
2.551000E+11 8.000E+16 292 2.200E-4 1.299457977E+00 1.307464523E+00
3.018000E+11 8.000E+16 292 2.200E-4 1.301529757E+00 1.308631329E+00
3.571000E+11 8.000E+16 292 2.200E-4 1.303642059E+00 1.309939171E+00
4.226000E+11 8.000E+16 292 2.200E-4 1.305810129E+00 1.311394885E+00
5.000000E+11 8.000E+16 292 2.200E-4 1.308047314E+00 1.313003103E+00
