fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
001_336 001_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.634191565E-28 1.000000000E+20 1.016987134E+00 5.543022405E-13 3.499748858E-02 
001_336_SRH 001_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.870710258E-28 1.000000000E+20 1.019611772E+00 4.919319523E-13 4.108178236E-02 
002_336 002_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.641020473E-28 1.000000000E+20 1.017726755E+00 7.835847813E-13 3.667566099E-02 
002_336_SRH 002_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.641963448E-28 1.000000000E+20 1.019598941E+00 7.212845327E-13 4.102137558E-02 
003_336 003_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 5.263020941E-28 1.000000000E+20 1.018262612E+00 1.119269815E-12 3.787299929E-02 
003_336_SRH 003_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 7.527108121E-29 1.000000000E+20 1.019580222E+00 1.057041606E-12 4.093302961E-02 
004_336 004_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 5.282937875E-28 1.000000000E+20 1.018634775E+00 1.610113862E-12 3.867216323E-02 
004_336_SRH 004_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 5.284925799E-28 1.000000000E+20 1.019552994E+00 1.547967848E-12 4.080404127E-02 
005_336 005_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.056748168E-27 1.000000000E+20 1.018878192E+00 2.326541492E-12 3.914275831E-02 
005_336_SRH 005_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.051008584E-27 1.000000000E+20 1.019513557E+00 2.264498400E-12 4.061618145E-02 
006_336 006_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.768022198E-27 1.000000000E+20 1.019019376E+00 3.369518686E-12 3.933150129E-02 
006_336_SRH 006_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.496962095E-27 1.000000000E+20 1.019456794E+00 3.307613023E-12 4.034356819E-02 
007_336 007_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.113576403E-27 1.000000000E+20 1.019075792E+00 4.882230411E-12 3.925841917E-02 
007_336_SRH 007_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 3.915533545E-27 1.000000000E+20 1.019375845E+00 4.820514928E-12 3.995004651E-02 
008_336 008_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.993258178E-27 1.000000000E+20 1.019056682E+00 7.064548004E-12 3.891593471E-02 
008_336_SRH 008_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.993697301E-27 1.000000000E+20 1.019261975E+00 7.003099576E-12 3.938636322E-02 
009_336 009_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 4.227945328E-27 1.000000000E+20 1.018964825E+00 1.018915655E-11 3.826952815E-02 
009_336_SRH 009_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 4.226881115E-27 1.000000000E+20 1.019105029E+00 1.012808349E-11 3.858793040E-02 
010_336 010_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 5.986916123E-27 1.000000000E+20 1.018799600E+00 1.461604495E-11 3.726092117E-02 
010_336_SRH 010_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 5.987346188E-27 1.000000000E+20 1.018895246E+00 1.455549477E-11 3.747518042E-02 
011_336 011_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 8.454697774E-27 1.000000000E+20 1.018562437E+00 2.079877118E-11 3.581683888E-02 
011_336_SRH 011_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 8.454833834E-27 1.000000000E+20 1.018627673E+00 2.073893658E-11 3.595995629E-02 
012_336 012_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.197249754E-26 1.000000000E+20 1.018266414E+00 2.927284587E-11 3.386983239E-02 
012_336_SRH 012_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.197303801E-26 1.000000000E+20 1.018310973E+00 2.921396516E-11 3.396450310E-02 
013_336 013_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.690832652E-26 1.000000000E+20 1.017950870E+00 4.061806476E-11 3.139589796E-02 
013_336_SRH 013_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.690762117E-26 1.000000000E+20 1.017981440E+00 4.056041009E-11 3.145772096E-02 
014_336 014_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.394733900E-26 1.000000000E+20 1.017699245E+00 5.540039765E-11 2.847056886E-02 
014_336_SRH 014_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.393953783E-26 1.000000000E+20 1.017720429E+00 5.534424577E-11 2.851028098E-02 
015_336 015_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 6.271842848E-26 1.000000000E+20 1.017651930E+00 7.412895916E-11 2.532549764E-02 
015_336_SRH 015_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 6.272055446E-26 1.000000000E+20 1.017666894E+00 7.407454415E-11 2.535051607E-02 
016_336 016_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 3.391169549E-26 1.000000000E+20 1.017999381E+00 9.729368409E-11 2.236088243E-02 
016_336_SRH 016_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 3.382450314E-26 1.000000000E+20 1.018010294E+00 9.724114086E-11 2.237633855E-02 
017_336 017_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.831395366E-25 1.000000000E+20 1.018945731E+00 1.255395593E-10 2.005951514E-02 
017_336_SRH 017_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 4.788879304E-26 1.000000000E+20 1.018954063E+00 1.254888815E-10 2.006894423E-02 
018_336 018_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.251325983E-25 1.000000000E+20 1.020654307E+00 1.599620973E-10 1.880249202E-02 
018_336_SRH 018_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.254442821E-25 1.000000000E+20 1.020661021E+00 1.599131273E-10 1.880827263E-02 
019_336 019_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 3.947140129E-25 1.000000000E+20 1.023211763E+00 2.024340567E-10 1.870878555E-02 
019_336_SRH 019_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 3.946712514E-25 1.000000000E+20 1.023217465E+00 2.023865163E-10 1.871243108E-02 
