T file kT1 TDD TDD1 TDD11 TDD111 d N_B
309 001_309 37.522 5.000000E+10 5.000000E+10 5.000000E+10 5.000000E+10 2.000E-4 7.000E+15
309 002_309 37.522 5.861000E+10 5.861000E+10 5.861000E+10 5.861000E+10 2.000E-4 7.000E+15
309 003_309 37.522 6.869000E+10 6.869000E+10 6.869000E+10 6.869000E+10 2.000E-4 7.000E+15
309 004_309 37.522 8.051000E+10 8.051000E+10 8.051000E+10 8.051000E+10 2.000E-4 7.000E+15
309 005_309 37.522 9.437000E+10 9.437000E+10 9.437000E+10 9.437000E+10 2.000E-4 7.000E+15
309 006_309 37.522 1.106000E+11 1.106000E+11 1.106000E+11 1.106000E+11 2.000E-4 7.000E+15
309 007_309 37.522 1.296000E+11 1.296000E+11 1.296000E+11 1.296000E+11 2.000E-4 7.000E+15
309 008_309 37.522 1.520000E+11 1.520000E+11 1.520000E+11 1.520000E+11 2.000E-4 7.000E+15
309 009_309 37.522 1.781000E+11 1.781000E+11 1.781000E+11 1.781000E+11 2.000E-4 7.000E+15
309 010_309 37.522 2.088000E+11 2.088000E+11 2.088000E+11 2.088000E+11 2.000E-4 7.000E+15
309 011_309 37.522 2.447000E+11 2.447000E+11 2.447000E+11 2.447000E+11 2.000E-4 7.000E+15
309 012_309 37.522 2.868000E+11 2.868000E+11 2.868000E+11 2.868000E+11 2.000E-4 7.000E+15
309 013_309 37.522 3.362000E+11 3.362000E+11 3.362000E+11 3.362000E+11 2.000E-4 7.000E+15
309 014_309 37.522 3.940000E+11 3.940000E+11 3.940000E+11 3.940000E+11 2.000E-4 7.000E+15
309 015_309 37.522 4.618000E+11 4.618000E+11 4.618000E+11 4.618000E+11 2.000E-4 7.000E+15
309 016_309 37.522 5.413000E+11 5.413000E+11 5.413000E+11 5.413000E+11 2.000E-4 7.000E+15
309 017_309 37.522 6.345000E+11 6.345000E+11 6.345000E+11 6.345000E+11 2.000E-4 7.000E+15
309 018_309 37.522 7.437000E+11 7.437000E+11 7.437000E+11 7.437000E+11 2.000E-4 7.000E+15
309 019_309 37.522 8.717000E+11 8.717000E+11 8.717000E+11 8.717000E+11 2.000E-4 7.000E+15
309 020_309 37.522 1.022000E+12 1.022000E+12 1.022000E+12 1.022000E+12 2.000E-4 7.000E+15
309 021_309 37.522 1.198000E+12 1.198000E+12 1.198000E+12 1.198000E+12 2.000E-4 7.000E+15
309 022_309 37.522 1.404000E+12 1.404000E+12 1.404000E+12 1.404000E+12 2.000E-4 7.000E+15
309 023_309 37.522 1.645000E+12 1.645000E+12 1.645000E+12 1.645000E+12 2.000E-4 7.000E+15
309 024_309 37.522 1.928000E+12 1.928000E+12 1.928000E+12 1.928000E+12 2.000E-4 7.000E+15
309 025_309 37.522 2.260000E+12 2.260000E+12 2.260000E+12 2.260000E+12 2.000E-4 7.000E+15
309 026_309 37.522 2.649000E+12 2.649000E+12 2.649000E+12 2.649000E+12 2.000E-4 7.000E+15
309 027_309 37.522 3.105000E+12 3.105000E+12 3.105000E+12 3.105000E+12 2.000E-4 7.000E+15
309 028_309 37.522 3.639000E+12 3.639000E+12 3.639000E+12 3.639000E+12 2.000E-4 7.000E+15
309 029_309 37.522 4.266000E+12 4.266000E+12 4.266000E+12 4.266000E+12 2.000E-4 7.000E+15
309 030_309 37.522 5.000000E+12 5.000000E+12 5.000000E+12 5.000000E+12 2.000E-4 7.000E+15
