N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.778E+16 336 2.400E-4 1.189079610E+00 1.217281426E+00
1.468000E+10 1.778E+16 336 2.400E-4 1.197542481E+00 1.217609542E+00
2.154000E+10 1.778E+16 336 2.400E-4 1.203988047E+00 1.218082969E+00
3.162000E+10 1.778E+16 336 2.400E-4 1.208956605E+00 1.218760871E+00
4.642000E+10 1.778E+16 336 2.400E-4 1.212951102E+00 1.219721055E+00
6.813000E+10 1.778E+16 336 2.400E-4 1.216411853E+00 1.221060339E+00
1.000000E+11 1.778E+16 336 2.400E-4 1.219711904E+00 1.222889416E+00
1.468000E+11 1.778E+16 336 2.400E-4 1.223153628E+00 1.225317589E+00
2.154000E+11 1.778E+16 336 2.400E-4 1.226955413E+00 1.228424623E+00
3.162000E+11 1.778E+16 336 2.400E-4 1.231227838E+00 1.232223338E+00
4.642000E+11 1.778E+16 336 2.400E-4 1.235952317E+00 1.236626710E+00
6.813000E+11 1.778E+16 336 2.400E-4 1.240985924E+00 1.241444189E+00
1.000000E+12 1.778E+16 336 2.400E-4 1.246108225E+00 1.246422070E+00
1.468000E+12 1.778E+16 336 2.400E-4 1.251097154E+00 1.251315046E+00
2.154000E+12 1.778E+16 336 2.400E-4 1.255797049E+00 1.255951260E+00
3.162000E+12 1.778E+16 336 2.400E-4 1.260146172E+00 1.260257965E+00
4.642000E+12 1.778E+16 336 2.400E-4 1.264162793E+00 1.264245995E+00
6.813000E+12 1.778E+16 336 2.400E-4 1.267911783E+00 1.267975420E+00
1.000000E+13 1.778E+16 336 2.400E-4 1.271474953E+00 1.271524953E+00
