fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
001_315 001_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 1.376234665E-14 1.000000000E+20 1.219841426E+00 3.201197303E-15 1.580233863E-03 
001_315_SRH 001_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 9.804379339E-15 1.000000000E+20 1.226791749E+00 3.140165630E-15 2.220447623E-03 
002_315 002_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 3.450265173E-14 1.000000000E+20 1.225283624E+00 9.981044428E-15 2.010245625E-03 
002_315_SRH 002_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 3.057059922E-14 1.000000000E+20 1.227588540E+00 9.921510247E-15 2.264980280E-03 
003_315 003_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 9.647459709E-14 1.000000000E+20 1.229119293E+00 3.135439114E-14 2.311811832E-03 
003_315_SRH 003_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 9.261857763E-14 1.000000000E+20 1.229863954E+00 3.129708470E-14 2.405524891E-03 
004_315 004_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 2.632009796E-13 1.000000000E+20 1.235034912E+00 9.843496252E-14 2.794981552E-03 
004_315_SRH 004_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 2.595412539E-13 1.000000000E+20 1.235277614E+00 9.838257803E-14 2.832603330E-03 
005_315 005_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 6.213187162E-13 1.000000000E+20 1.244150087E+00 3.080713055E-13 3.940523627E-03 
005_315_SRH 005_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 6.180287859E-13 1.000000000E+20 1.244236310E+00 3.080283948E-13 3.959818539E-03 
006_315 006_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 1.209522738E-12 1.000000000E+20 1.254405714E+00 9.650477978E-13 6.337143834E-03 
006_315_SRH 006_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 1.206636386E-12 1.000000000E+20 1.254443655E+00 9.650204537E-13 6.350169223E-03 
007_315 007_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 2.122636956E-12 1.000000000E+20 1.265097920E+00 3.042679417E-12 1.041596132E-02 
007_315_SRH 007_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 2.119990289E-12 1.000000000E+20 1.265119475E+00 3.042682086E-12 1.042594509E-02 
