N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.400E+15 300 1.800E-4 1.194968295E+00 1.198255679E+00
1.468000E+10 1.400E+15 300 1.800E-4 1.195953493E+00 1.198272939E+00
2.154000E+10 1.400E+15 300 1.800E-4 1.196676300E+00 1.198298212E+00
3.162000E+10 1.400E+15 300 1.800E-4 1.197208411E+00 1.198335197E+00
4.642000E+10 1.400E+15 300 1.800E-4 1.197609859E+00 1.198389272E+00
6.813000E+10 1.400E+15 300 1.800E-4 1.197930399E+00 1.198468208E+00
1.000000E+11 1.400E+15 300 1.800E-4 1.198212337E+00 1.198583146E+00
1.468000E+11 1.400E+15 300 1.800E-4 1.198494024E+00 1.198749926E+00
2.154000E+11 1.400E+15 300 1.800E-4 1.198813637E+00 1.198990719E+00
3.162000E+11 1.400E+15 300 1.800E-4 1.199212803E+00 1.199335935E+00
4.642000E+11 1.400E+15 300 1.800E-4 1.199739860E+00 1.199826128E+00
6.813000E+11 1.400E+15 300 1.800E-4 1.200452170E+00 1.200513277E+00
1.000000E+12 1.400E+15 300 1.800E-4 1.201416597E+00 1.201460540E+00
1.468000E+12 1.400E+15 300 1.800E-4 1.202706963E+00 1.202739207E+00
2.154000E+12 1.400E+15 300 1.800E-4 1.204397341E+00 1.204421605E+00
3.162000E+12 1.400E+15 300 1.800E-4 1.206550801E+00 1.206569599E+00
4.642000E+12 1.400E+15 300 1.800E-4 1.209205262E+00 1.209220278E+00
6.813000E+12 1.400E+15 300 1.800E-4 1.212361542E+00 1.212373882E+00
1.000000E+13 1.400E+15 300 1.800E-4 1.215980895E+00 1.215991271E+00
