N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 1.778E+15 336 2.400E-4 1.018155049E+00 1.020267154E+00
1.468000E+10 1.778E+15 336 2.400E-4 1.018683998E+00 1.020170924E+00
2.154000E+10 1.778E+15 336 2.400E-4 1.018997828E+00 1.020032152E+00
3.162000E+10 1.778E+15 336 2.400E-4 1.019121027E+00 1.019833663E+00
4.642000E+10 1.778E+15 336 2.400E-4 1.019066110E+00 1.019553148E+00
6.813000E+10 1.778E+15 336 2.400E-4 1.018833191E+00 1.019163579E+00
1.000000E+11 1.778E+15 336 2.400E-4 1.018413684E+00 1.018636152E+00
1.468000E+11 1.778E+15 336 2.400E-4 1.017799332E+00 1.017947997E+00
2.154000E+11 1.778E+15 336 2.400E-4 1.016998461E+00 1.017097082E+00
3.162000E+11 1.778E+15 336 2.400E-4 1.016059350E+00 1.016124437E+00
4.642000E+11 1.778E+15 336 2.400E-4 1.015093489E+00 1.015136492E+00
6.813000E+11 1.778E+15 336 2.400E-4 1.014280662E+00 1.014309472E+00
1.000000E+12 1.778E+15 336 2.400E-4 1.013834862E+00 1.013854822E+00
1.468000E+12 1.778E+15 336 2.400E-4 1.013933875E+00 1.013948478E+00
2.154000E+12 1.778E+15 336 2.400E-4 1.014658720E+00 1.014670130E+00
3.162000E+12 1.778E+15 336 2.400E-4 1.015993448E+00 1.016002925E+00
4.642000E+12 1.778E+15 336 2.400E-4 1.017880842E+00 1.017889086E+00
6.813000E+12 1.778E+15 336 2.400E-4 1.020282472E+00 1.020289857E+00
1.000000E+13 1.778E+15 336 2.400E-4 1.023206398E+00 1.023213132E+00
