N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 5.623E+15 340 1.800E-4 1.006574952E+00 1.008792650E+00
1.468000E+10 5.623E+15 340 1.800E-4 1.007132318E+00 1.008794177E+00
2.154000E+10 5.623E+15 340 1.800E-4 1.007580388E+00 1.008796588E+00
3.162000E+10 5.623E+15 340 1.800E-4 1.007926365E+00 1.008800490E+00
4.642000E+10 5.623E+15 340 1.800E-4 1.008186717E+00 1.008806974E+00
6.813000E+10 5.623E+15 340 1.800E-4 1.008381508E+00 1.008818050E+00
1.000000E+11 5.623E+15 340 1.800E-4 1.008531421E+00 1.008837456E+00
1.468000E+11 5.623E+15 340 1.800E-4 1.008657541E+00 1.008872121E+00
2.154000E+11 5.623E+15 340 1.800E-4 1.010040158E+00 1.009712048E+00
3.162000E+11 5.623E+15 340 1.800E-4 1.030470864E+00 1.030260081E+00
4.642000E+11 5.623E+15 340 1.800E-4 1.055649598E+00 1.055523392E+00
6.813000E+11 5.623E+15 340 1.800E-4 1.084446807E+00 1.084381739E+00
1.000000E+12 5.623E+15 340 1.800E-4 1.114447622E+00 1.114425400E+00
1.468000E+12 5.623E+15 340 1.800E-4 1.142589617E+00 1.142594902E+00
2.154000E+12 5.623E+15 340 1.800E-4 1.166498534E+00 1.166518570E+00
3.162000E+12 5.623E+15 340 1.800E-4 1.185460781E+00 1.185486270E+00
4.642000E+12 5.623E+15 340 1.800E-4 1.200198099E+00 1.200223563E+00
6.813000E+12 5.623E+15 340 1.800E-4 1.211901864E+00 1.211924837E+00
1.000000E+13 5.623E+15 340 1.800E-4 1.221542650E+00 1.221562484E+00
