N_Fe N_B T d n_Fe n_Fe_SRH
1.300000E+10 1.778E+15 305 1.800E-4 1.178625451E+00 1.179948439E+00
2.471000E+10 1.778E+15 305 1.800E-4 1.179889798E+00 1.180592366E+00
4.696000E+10 1.778E+15 305 1.800E-4 1.181403713E+00 1.181776293E+00
8.927000E+10 1.778E+15 305 1.800E-4 1.183693319E+00 1.183891426E+00
1.697000E+11 1.778E+15 305 1.800E-4 1.187373095E+00 1.187479429E+00
3.225000E+11 1.778E+15 305 1.800E-4 1.192989121E+00 1.193047525E+00
6.130000E+11 1.778E+15 305 1.800E-4 1.200526012E+00 1.200559615E+00
1.165000E+12 1.778E+15 305 1.800E-4 1.208951860E+00 1.208972610E+00
2.214000E+12 1.778E+15 305 1.800E-4 1.216855253E+00 1.216869088E+00
4.209000E+12 1.778E+15 305 1.800E-4 1.223790008E+00 1.223799877E+00
8.000000E+12 1.778E+15 305 1.800E-4 1.230219280E+00 1.230226727E+00
