fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
001_335 001_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 1.488635841E-27 1.000000000E+20 1.017139935E+00 6.963680282E-13 5.099802490E-02 
001_335_SRH 001_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 1.488215239E-27 1.000000000E+20 1.019150703E+00 6.394272956E-13 5.748058590E-02 
002_335 002_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 2.105530724E-27 1.000000000E+20 1.017652310E+00 9.916717516E-13 5.257480899E-02 
002_335_SRH 002_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 2.105705307E-27 1.000000000E+20 1.019068924E+00 9.348643641E-13 5.714005129E-02 
003_335 003_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 2.977508574E-27 1.000000000E+20 1.017964719E+00 1.420993504E-12 5.347099288E-02 
003_335_SRH 003_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 9.889383723E-32 1.000000000E+20 1.018950925E+00 1.364346809E-12 5.664638946E-02 
004_335 004_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 4.210198725E-27 1.000000000E+20 1.018101864E+00 2.042418245E-12 5.374828117E-02 
004_335_SRH 004_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 4.211313690E-27 1.000000000E+20 1.018782014E+00 1.985979461E-12 5.593486421E-02 
005_335 005_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 5.959086641E-27 1.000000000E+20 1.018077591E+00 2.936304986E-12 5.342541169E-02 
005_335_SRH 005_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 5.956359854E-27 1.000000000E+20 1.018543023E+00 2.880146997E-12 5.491792754E-02 
006_335 006_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 1.537995874E-26 1.000000000E+20 1.017894293E+00 4.210857715E-12 5.247210526E-02 
006_335_SRH 006_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 8.419844941E-27 1.000000000E+20 1.018210574E+00 4.155085941E-12 5.348219199E-02 
007_335 007_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 1.191757234E-26 1.000000000E+20 1.017545964E+00 6.006193706E-12 5.081362607E-02 
007_335_SRH 007_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 5.863781522E-32 1.000000000E+20 1.017759443E+00 5.950953235E-12 5.149086928E-02 
008_335 008_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 2.906060685E-27 1.000000000E+20 1.017025860E+00 8.493908385E-12 4.834967690E-02 
008_335_SRH 008_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 1.684508496E-26 1.000000000E+20 1.017168982E+00 8.439389212E-12 4.879873957E-02 
009_335 009_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 2.383225218E-26 1.000000000E+20 1.016340511E+00 1.186828598E-11 4.499608245E-02 
009_335_SRH 009_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 2.381984683E-26 1.000000000E+20 1.016435866E+00 1.181472214E-11 4.528977983E-02 
010_335 010_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 3.366608861E-26 1.000000000E+20 1.015530458E+00 1.632703571E-11 4.075699449E-02 
010_335_SRH 010_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 3.369405100E-26 1.000000000E+20 1.015593732E+00 1.627469250E-11 4.094588201E-02 
011_335 011_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 4.765486358E-26 1.000000000E+20 1.014692241E+00 2.204650568E-11 3.581913982E-02 
011_335_SRH 011_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 4.765150813E-26 1.000000000E+20 1.014734309E+00 2.199564993E-11 3.593833121E-02 
012_335 012_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 6.738402617E-26 1.000000000E+20 1.013986530E+00 2.916815762E-11 3.062086308E-02 
012_335_SRH 012_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 6.741300970E-26 1.000000000E+20 1.014014894E+00 2.911901103E-11 3.069473819E-02 
013_335 013_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 9.531496671E-26 1.000000000E+20 1.013612428E+00 3.781993816E-11 2.580257035E-02 
013_335_SRH 013_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 9.529212014E-26 1.000000000E+20 1.013632185E+00 3.777262440E-11 2.584791604E-02 
014_335 014_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 4.271219816E-26 1.000000000E+20 1.013746654E+00 4.818402432E-11 2.198202686E-02 
014_335_SRH 014_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 4.270532922E-26 1.000000000E+20 1.013761157E+00 4.813853036E-11 2.201009307E-02 
