T file kT1 TDD TDD1 TDD11 TDD111 d N_B
290 001_290 39.98 1.300000E+10 1.300000E+10 1.300000E+10 1.300000E+10 1.800E-4 5.623E+15
290 002_290 39.98 2.471000E+10 2.471000E+10 2.471000E+10 2.471000E+10 1.800E-4 5.623E+15
290 003_290 39.98 4.696000E+10 4.696000E+10 4.696000E+10 4.696000E+10 1.800E-4 5.623E+15
290 004_290 39.98 8.927000E+10 8.927000E+10 8.927000E+10 8.927000E+10 1.800E-4 5.623E+15
290 005_290 39.98 1.697000E+11 1.697000E+11 1.697000E+11 1.697000E+11 1.800E-4 5.623E+15
290 006_290 39.98 3.225000E+11 3.225000E+11 3.225000E+11 3.225000E+11 1.800E-4 5.623E+15
290 007_290 39.98 6.130000E+11 6.130000E+11 6.130000E+11 6.130000E+11 1.800E-4 5.623E+15
290 008_290 39.98 1.165000E+12 1.165000E+12 1.165000E+12 1.165000E+12 1.800E-4 5.623E+15
290 009_290 39.98 2.214000E+12 2.214000E+12 2.214000E+12 2.214000E+12 1.800E-4 5.623E+15
290 010_290 39.98 4.209000E+12 4.209000E+12 4.209000E+12 4.209000E+12 1.800E-4 5.623E+15
290 011_290 39.98 8.000000E+12 8.000000E+12 8.000000E+12 8.000000E+12 1.800E-4 5.623E+15
