fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
019_309_SRH 019_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 3.093082233E-14 1.000000000E+20 1.301576221E+00 5.953601651E-14 2.163341214E-03 
020_309 020_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 3.580154936E-14 1.000000000E+20 1.301852964E+00 6.979059407E-14 2.183749937E-03 
020_309_SRH 020_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 3.405999051E-14 1.000000000E+20 1.302888787E+00 6.983043913E-14 2.264825870E-03 
021_309 021_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 3.905287542E-14 1.000000000E+20 1.303368688E+00 8.186863693E-14 2.301558846E-03 
021_309_SRH 021_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 3.736319461E-14 1.000000000E+20 1.304303015E+00 8.191449070E-14 2.375895011E-03 
022_309 022_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 4.248115289E-14 1.000000000E+20 1.304971262E+00 9.604917678E-14 2.428279444E-03 
022_309_SRH 022_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 4.084234611E-14 1.000000000E+20 1.305817156E+00 9.610173322E-14 2.496637142E-03 
023_309 023_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 4.609210706E-14 1.000000000E+20 1.306659629E+00 1.127009930E-13 2.563975222E-03 
023_309_SRH 023_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 4.450264434E-14 1.000000000E+20 1.307428172E+00 1.127610214E-13 2.627004750E-03 
024_309 024_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 4.989512471E-14 1.000000000E+20 1.308431319E+00 1.322578893E-13 2.708562384E-03 
024_309_SRH 024_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 4.835303240E-14 1.000000000E+20 1.309131899E+00 1.323262399E-13 2.766817939E-03 
025_309 025_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 5.390334962E-14 1.000000000E+20 1.310282705E+00 1.552301414E-13 2.861826208E-03 
025_309_SRH 025_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 5.240630628E-14 1.000000000E+20 1.310923250E+00 1.553077503E-13 2.915779721E-03 
026_309 026_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 5.813344142E-14 1.000000000E+20 1.312209310E+00 1.822179632E-13 3.023444399E-03 
026_309_SRH 026_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 5.667888268E-14 1.000000000E+20 1.312796525E+00 1.823058585E-13 3.073498548E-03 
027_309 027_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 6.260505365E-14 1.000000000E+20 1.314206148E+00 2.139273591E-13 3.193017306E-03 
027_309_SRH 027_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 6.119027548E-14 1.000000000E+20 1.314745715E+00 2.140266676E-13 3.239516942E-03 
028_309 028_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 6.734011503E-14 1.000000000E+20 1.316268046E+00 2.511887917E-13 3.370098868E-03 
028_309_SRH 028_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 6.596236858E-14 1.000000000E+20 1.316764788E+00 2.513007432E-13 3.413340694E-03 
029_309 029_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 7.236202542E-14 1.000000000E+20 1.318389921E+00 2.949791747E-13 3.554225742E-03 
029_309_SRH 029_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 7.101860147E-14 1.000000000E+20 1.318847956E+00 2.951051108E-13 3.594467173E-03 
030_309 030_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 7.769487045E-14 1.000000000E+20 1.320566973E+00 3.464477777E-13 3.744940590E-03 
030_309_SRH 030_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 7.638316679E-14 1.000000000E+20 1.320989843E+00 3.465891585E-13 3.782406580E-03 
