T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD TDD1 d N_B
320 001_320 36.232 4.556370E-1 7.222092E-1 7.801030E+1 2.567040E+1 3.812210E-1 6.733750E-1 1.000000E+0 1.000000E+10 1.000000E+10 1.800E-4 1.000E+16
320 002_320 36.232 4.553450E-1 7.211975E-1 7.799830E+1 2.561410E+1 3.809470E-1 6.723810E-1 1.000000E+0 1.468000E+10 1.468000E+10 1.800E-4 1.000E+16
320 003_320 36.232 4.549250E-1 7.197227E-1 7.798100E+1 2.553250E+1 3.805370E-1 6.709595E-1 1.000000E+0 2.154000E+10 2.154000E+10 1.800E-4 1.000E+16
320 004_320 36.232 4.543220E-1 7.175799E-1 7.795590E+1 2.541450E+1 3.799510E-1 6.688905E-1 1.000000E+0 3.162000E+10 3.162000E+10 1.800E-4 1.000E+16
320 005_320 36.232 4.534660E-1 7.144808E-1 7.792010E+1 2.524550E+1 3.791310E-1 6.658789E-1 1.000000E+0 4.642000E+10 4.642000E+10 1.800E-4 1.000E+16
320 006_320 36.232 4.522670E-1 7.100283E-1 7.786940E+1 2.500560E+1 3.779790E-1 6.615621E-1 1.000000E+0 6.813000E+10 6.813000E+10 1.800E-4 1.000E+16
320 007_320 36.232 4.506190E-1 7.036921E-1 7.779920E+1 2.466980E+1 3.763770E-1 6.554565E-1 1.000000E+0 1.000000E+11 1.000000E+11 1.800E-4 1.000E+16
320 008_320 36.232 4.483210E-1 6.947959E-1 7.771850E+1 2.420860E+1 3.742290E-1 6.468947E-1 1.000000E+0 1.468000E+11 1.468000E+11 1.800E-4 1.000E+16
320 009_320 36.232 4.453240E-1 6.825364E-1 7.761240E+1 2.359020E+1 3.714360E-1 6.351108E-1 1.000000E+0 2.154000E+11 2.154000E+11 1.800E-4 1.000E+16
320 010_320 36.232 4.416110E-1 6.660645E-1 7.746740E+1 2.278640E+1 3.679200E-1 6.193300E-1 1.000000E+0 3.162000E+11 3.162000E+11 1.800E-4 1.000E+16
320 011_320 36.232 4.370360E-1 6.446548E-1 7.730570E+1 2.177990E+1 3.636820E-1 5.988723E-1 1.000000E+0 4.642000E+11 4.642000E+11 1.800E-4 1.000E+16
320 012_320 36.232 4.317950E-1 6.179582E-1 7.710480E+1 2.057400E+1 3.587600E-1 5.734753E-1 1.000000E+0 6.813000E+11 6.813000E+11 1.800E-4 1.000E+16
320 013_320 36.232 4.259080E-1 5.862556E-1 7.688790E+1 1.919820E+1 3.533110E-1 5.433808E-1 1.000000E+0 1.000000E+12 1.000000E+12 1.800E-4 1.000E+16
320 014_320 36.232 4.197000E-1 5.505476E-1 7.662970E+1 1.770640E+1 3.474900E-1 5.095515E-1 1.000000E+0 1.468000E+12 1.468000E+12 1.800E-4 1.000E+16
320 015_320 36.232 4.131140E-1 5.123421E-1 7.636970E+1 1.616410E+1 3.413960E-1 4.734696E-1 1.000000E+0 2.154000E+12 2.154000E+12 1.800E-4 1.000E+16
320 016_320 36.232 4.063750E-1 4.731880E-1 7.608370E+1 1.463020E+1 3.351270E-1 4.365585E-1 1.000000E+0 3.162000E+12 3.162000E+12 1.800E-4 1.000E+16
320 017_320 36.232 3.995270E-1 4.342291E-1 7.576300E+1 1.314380E+1 3.286820E-1 3.998956E-1 1.000000E+0 4.642000E+12 4.642000E+12 1.800E-4 1.000E+16
320 018_320 36.232 3.923740E-1 3.960559E-1 7.543130E+1 1.172220E+1 3.220410E-1 3.639970E-1 1.000000E+0 6.813000E+12 6.813000E+12 1.800E-4 1.000E+16
320 019_320 36.232 3.849440E-1 3.588854E-1 7.506480E+1 1.037030E+1 3.151270E-1 3.290823E-1 1.000000E+0 1.000000E+13 1.000000E+13 1.800E-4 1.000E+16
320 020_320 36.232 3.772130E-1 3.228550E-1 7.464940E+1 9.091200E+0 3.078810E-1 2.952825E-1 1.000000E+0 1.468000E+13 1.468000E+13 1.800E-4 1.000E+16
320 021_320 36.232 3.691410E-1 2.882071E-1 7.417660E+1 7.891600E+0 3.002830E-1 2.628043E-1 1.000000E+0 2.154000E+13 2.154000E+13 1.800E-4 1.000E+16
320 022_320 36.232 3.606610E-1 2.552915E-1 7.364570E+1 6.780800E+0 2.922950E-1 2.319861E-1 1.000000E+0 3.162000E+13 3.162000E+13 1.800E-4 1.000E+16
320 023_320 36.232 3.517560E-1 2.244742E-1 7.304480E+1 5.767600E+0 2.839160E-1 2.031456E-1 1.000000E+0 4.642000E+13 4.642000E+13 1.800E-4 1.000E+16
320 024_320 36.232 3.424510E-1 1.960519E-1 7.234780E+1 4.857300E+0 2.750880E-1 1.765725E-1 1.000000E+0 6.813000E+13 6.813000E+13 1.800E-4 1.000E+16
320 025_320 36.232 3.327120E-1 1.702120E-1 7.153380E+1 4.051100E+0 2.658110E-1 1.524047E-1 1.000000E+0 1.000000E+14 1.000000E+14 1.800E-4 1.000E+16
