N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
2.154000E+12 1.000E+15 310 1.900E-4 1.140210965E+00 1.140336772E+00 1.193208203E+00 1.193221634E+00
3.162000E+12 1.000E+15 310 1.900E-4 1.155296383E+00 1.155298768E+00 1.195972164E+00 1.195986129E+00
4.642000E+12 1.000E+15 310 1.900E-4 1.166698592E+00 1.166707282E+00 1.198813783E+00 1.198823228E+00
6.813000E+12 1.000E+15 310 1.900E-4 1.175560707E+00 1.175563287E+00 1.201716862E+00 1.201725000E+00
1.000000E+13 1.000E+15 310 1.900E-4 1.182773176E+00 1.182776503E+00 1.204709102E+00 1.204715705E+00
1.000000E+10 1.000E+15 320 1.900E-4 1.017082137E+00 1.018420413E+00 1.089097612E+00 1.089477929E+00
1.468000E+10 1.000E+15 320 1.900E-4 1.017452544E+00 1.018386680E+00 1.089501480E+00 1.089743742E+00
2.154000E+10 1.000E+15 320 1.900E-4 1.017690983E+00 1.018337860E+00 1.089974560E+00 1.090131936E+00
3.162000E+10 1.000E+15 320 1.900E-4 1.017822336E+00 1.018267674E+00 1.090593175E+00 1.090697538E+00
4.642000E+10 1.000E+15 320 1.900E-4 1.017862513E+00 1.018167753E+00 1.091448109E+00 1.091518799E+00
6.813000E+10 1.000E+15 320 1.900E-4 1.017819044E+00 1.018027541E+00 1.092656338E+00 1.092705313E+00
1.000000E+11 1.000E+15 320 1.900E-4 1.017692948E+00 1.017834970E+00 1.094372217E+00 1.094407043E+00
1.468000E+11 1.000E+15 320 1.900E-4 1.017482317E+00 1.017578849E+00 1.096796363E+00 1.096821921E+00
2.154000E+11 1.000E+15 320 1.900E-4 1.017188919E+00 1.017254456E+00 1.100177082E+00 1.100196588E+00
3.162000E+11 1.000E+15 320 1.900E-4 1.016829443E+00 1.016873975E+00 1.104794226E+00 1.104809849E+00
4.642000E+11 1.000E+15 320 1.900E-4 1.016451716E+00 1.016482131E+00 1.110909448E+00 1.110922642E+00
6.813000E+11 1.000E+15 320 1.900E-4 1.016151757E+00 1.016172801E+00 1.118666915E+00 1.118678693E+00
1.000000E+12 1.000E+15 320 1.900E-4 1.016079977E+00 1.016094912E+00 1.127948884E+00 1.127959896E+00
1.468000E+12 1.000E+15 320 1.900E-4 1.016421514E+00 1.016432553E+00 1.138245756E+00 1.138256345E+00
2.154000E+12 1.000E+15 320 1.900E-4 1.017348523E+00 1.017357130E+00 1.148672379E+00 1.148682619E+00
3.162000E+12 1.000E+15 320 1.900E-4 1.018970412E+00 1.018977515E+00 1.158227763E+00 1.158237525E+00
4.642000E+12 1.000E+15 320 1.900E-4 1.036510301E+00 1.036508494E+00 1.166218908E+00 1.166227991E+00
6.813000E+12 1.000E+15 320 1.900E-4 1.059058883E+00 1.059059740E+00 1.172511608E+00 1.172519843E+00
1.000000E+13 1.000E+15 320 1.900E-4 1.076707506E+00 1.076709534E+00 1.177413564E+00 1.177420884E+00
1.000000E+10 1.000E+15 330 1.900E-4 1.030657975E+00 1.033691354E+00 1.012921867E+00 1.014771523E+00
1.468000E+10 1.000E+15 330 1.900E-4 1.031468088E+00 1.033595707E+00 1.013451705E+00 1.014768507E+00
2.154000E+10 1.000E+15 330 1.900E-4 1.031979380E+00 1.033456584E+00 1.013838415E+00 1.014764154E+00
3.162000E+10 1.000E+15 330 1.900E-4 1.032237557E+00 1.033255078E+00 1.014112940E+00 1.014757923E+00
4.642000E+10 1.000E+15 330 1.900E-4 1.032268698E+00 1.032965013E+00 1.014302520E+00 1.014749114E+00
6.813000E+10 1.000E+15 330 1.900E-4 1.032077535E+00 1.032551227E+00 1.014428919E+00 1.014736899E+00
