T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD TDD1 d N_B
340 001_340 34.101 4.067420E-1 7.042305E-1 7.523710E+1 2.155090E+1 3.330180E-1 6.471411E-1 1.000000E+0 1.000000E+10 1.000000E+10 1.800E-4 3.162E+16
340 002_340 34.101 4.066040E-1 7.032893E-1 7.523140E+1 2.151320E+1 3.328810E-1 6.462733E-1 1.000000E+0 1.468000E+10 1.468000E+10 1.800E-4 3.162E+16
340 003_340 34.101 4.064040E-1 7.019177E-1 7.522310E+1 2.145830E+1 3.327050E-1 6.449638E-1 1.000000E+0 2.154000E+10 2.154000E+10 1.800E-4 3.162E+16
340 004_340 34.101 4.061130E-1 6.999253E-1 7.521090E+1 2.137860E+1 3.324320E-1 6.430982E-1 1.000000E+0 3.162000E+10 3.162000E+10 1.800E-4 3.162E+16
340 005_340 34.101 4.056960E-1 6.970451E-1 7.519320E+1 2.126370E+1 3.320410E-1 6.403953E-1 1.000000E+0 4.642000E+10 4.642000E+10 1.800E-4 3.162E+16
340 006_340 34.101 4.051010E-1 6.929097E-1 7.516750E+1 2.109940E+1 3.314940E-1 6.364935E-1 1.000000E+0 6.813000E+10 6.813000E+10 1.800E-4 3.162E+16
340 007_340 34.101 4.042630E-1 6.870300E-1 7.513060E+1 2.086680E+1 3.307130E-1 6.309647E-1 1.000000E+0 1.000000E+11 1.000000E+11 1.800E-4 3.162E+16
340 008_340 34.101 4.031020E-1 6.787841E-1 7.507800E+1 2.054280E+1 3.296390E-1 6.231918E-1 1.000000E+0 1.468000E+11 1.468000E+11 1.800E-4 3.162E+16
340 009_340 34.101 4.015290E-1 6.674376E-1 7.500460E+1 2.010090E+1 3.281540E-1 6.125445E-1 1.000000E+0 2.154000E+11 2.154000E+11 1.800E-4 3.162E+16
340 010_340 34.101 3.994240E-1 6.522184E-1 7.491000E+1 1.951490E+1 3.262010E-1 5.982491E-1 1.000000E+0 3.162000E+11 3.162000E+11 1.800E-4 3.162E+16
340 011_340 34.101 3.966640E-1 6.324711E-1 7.479870E+1 1.876540E+1 3.236820E-1 5.797490E-1 1.000000E+0 4.642000E+11 4.642000E+11 1.800E-4 3.162E+16
340 012_340 34.101 3.933180E-1 6.078775E-1 7.464760E+1 1.784740E+1 3.205760E-1 5.567301E-1 1.000000E+0 6.813000E+11 6.813000E+11 1.800E-4 3.162E+16
340 013_340 34.101 3.893740E-1 5.786663E-1 7.446040E+1 1.677720E+1 3.169040E-1 5.294104E-1 1.000000E+0 1.000000E+12 1.000000E+12 1.800E-4 3.162E+16
340 014_340 34.101 3.847850E-1 5.456686E-1 7.425860E+1 1.559170E+1 3.127050E-1 4.986072E-1 1.000000E+0 1.468000E+12 1.468000E+12 1.800E-4 3.162E+16
340 015_340 34.101 3.798130E-1 5.101163E-1 7.400800E+1 1.433900E+1 3.080570E-1 4.654655E-1 1.000000E+0 2.154000E+12 2.154000E+12 1.800E-4 3.162E+16
340 016_340 34.101 3.743020E-1 4.732521E-1 7.375100E+1 1.306420E+1 3.030370E-1 4.311086E-1 1.000000E+0 3.162000E+12 3.162000E+12 1.800E-4 3.162E+16
340 017_340 34.101 3.684610E-1 4.359956E-1 7.344790E+1 1.179920E+1 2.976270E-1 3.964426E-1 1.000000E+0 4.642000E+12 4.642000E+12 1.800E-4 3.162E+16
340 018_340 34.101 3.621670E-1 3.988734E-1 7.311400E+1 1.056190E+1 2.918070E-1 3.619505E-1 1.000000E+0 6.813000E+12 6.813000E+12 1.800E-4 3.162E+16
340 019_340 34.101 3.553830E-1 3.621933E-1 7.274380E+1 9.363400E+0 2.855760E-1 3.278769E-1 1.000000E+0 1.000000E+13 1.000000E+13 1.800E-4 3.162E+16
340 020_340 34.101 3.481570E-1 3.262634E-1 7.231400E+1 8.214200E+0 2.788770E-1 2.945461E-1 1.000000E+0 1.468000E+13 1.468000E+13 1.800E-4 3.162E+16
340 021_340 34.101 3.404440E-1 2.914860E-1 7.182300E+1 7.127300E+0 2.717290E-1 2.622955E-1 1.000000E+0 2.154000E+13 2.154000E+13 1.800E-4 3.162E+16
340 022_340 34.101 3.321680E-1 2.583177E-1 7.127640E+1 6.115900E+0 2.640920E-1 2.315807E-1 1.000000E+0 3.162000E+13 3.162000E+13 1.800E-4 3.162E+16
340 023_340 34.101 3.234110E-1 2.271819E-1 7.064560E+1 5.190500E+0 2.559860E-1 2.027666E-1 1.000000E+0 4.642000E+13 4.642000E+13 1.800E-4 3.162E+16
340 024_340 34.101 3.141680E-1 1.984062E-1 6.991360E+1 4.357900E+0 2.473730E-1 1.761675E-1 1.000000E+0 6.813000E+13 6.813000E+13 1.800E-4 3.162E+16
340 025_340 34.101 3.044190E-1 1.721970E-1 6.906050E+1 3.620200E+0 2.382710E-1 1.519342E-1 1.000000E+0 1.000000E+14 1.000000E+14 1.800E-4 3.162E+16
