N_Fe N_B T d n_Fe n_Fe_SRH
1.100000E+10 2.500E+15 292 2.200E-4 1.212019837E+00 1.214413951E+00
1.302000E+10 2.500E+15 292 2.200E-4 1.212398850E+00 1.214446537E+00
1.540000E+10 2.500E+15 292 2.200E-4 1.212735798E+00 1.214484937E+00
1.822000E+10 2.500E+15 292 2.200E-4 1.213037671E+00 1.214530168E+00
2.156000E+10 2.500E+15 292 2.200E-4 1.213311033E+00 1.214583410E+00
2.551000E+10 2.500E+15 292 2.200E-4 1.213562070E+00 1.214646017E+00
3.018000E+10 2.500E+15 292 2.200E-4 1.213796621E+00 1.214719573E+00
3.571000E+10 2.500E+15 292 2.200E-4 1.214020283E+00 1.214805876E+00
4.226000E+10 2.500E+15 292 2.200E-4 1.214238436E+00 1.214907003E+00
5.000000E+10 2.500E+15 292 2.200E-4 1.214456316E+00 1.215025305E+00
