N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 1.000E+16 310 2.300E-4 1.237573811E+00 1.247878704E+00
1.468000E+10 1.000E+16 310 2.300E-4 1.240664522E+00 1.247981323E+00
2.154000E+10 1.000E+16 310 2.300E-4 1.242975962E+00 1.248130082E+00
3.162000E+10 1.000E+16 310 2.300E-4 1.244738759E+00 1.248344556E+00
4.642000E+10 1.000E+16 310 2.300E-4 1.246142219E+00 1.248651369E+00
6.813000E+10 1.000E+16 310 2.300E-4 1.247345558E+00 1.249085521E+00
1.000000E+11 1.000E+16 310 2.300E-4 1.248485862E+00 1.249690768E+00
1.468000E+11 1.000E+16 310 2.300E-4 1.249682749E+00 1.250518062E+00
2.154000E+11 1.000E+16 310 2.300E-4 1.251039360E+00 1.251620915E+00
3.162000E+11 1.000E+16 310 2.300E-4 1.252639357E+00 1.253047639E+00
4.642000E+11 1.000E+16 310 2.300E-4 1.254541918E+00 1.254832534E+00
6.813000E+11 1.000E+16 310 2.300E-4 1.256778738E+00 1.256989811E+00
1.000000E+12 1.000E+16 310 2.300E-4 1.259356081E+00 1.259513522E+00
1.468000E+12 1.000E+16 310 2.300E-4 1.262261230E+00 1.262382406E+00
2.154000E+12 1.000E+16 310 2.300E-4 1.265470310E+00 1.265566661E+00
3.162000E+12 1.000E+16 310 2.300E-4 1.268956130E+00 1.269035017E+00
4.642000E+12 1.000E+16 310 2.300E-4 1.272696118E+00 1.272762214E+00
6.813000E+12 1.000E+16 310 2.300E-4 1.276678167E+00 1.276734422E+00
1.000000E+13 1.000E+16 310 2.300E-4 1.280900264E+00 1.280948572E+00
