T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD TDD1 d N_B
320 001_320 36.232 4.547570E-1 7.533151E-1 7.692200E+1 2.635160E+1 3.765140E-1 6.998848E-1 1.000000E+0 1.000000E+10 1.000000E+10 3.800E-4 1.000E+15
320 002_320 36.232 4.535920E-1 7.511693E-1 7.651150E+1 2.606930E+1 3.739550E-1 6.971250E-1 1.000000E+0 1.468000E+10 1.468000E+10 3.800E-4 1.000E+15
320 003_320 36.232 4.518540E-1 7.480878E-1 7.599930E+1 2.568980E+1 3.704790E-1 6.934217E-1 1.000000E+0 2.154000E+10 2.154000E+10 3.800E-4 1.000E+15
320 004_320 36.232 4.492060E-1 7.437061E-1 7.542000E+1 2.519610E+1 3.659080E-1 6.885908E-1 1.000000E+0 3.162000E+10 3.162000E+10 3.800E-4 1.000E+15
320 005_320 36.232 4.451350E-1 7.375605E-1 7.486140E+1 2.457800E+1 3.603030E-1 6.821506E-1 1.000000E+0 4.642000E+10 4.642000E+10 3.800E-4 1.000E+15
320 006_320 36.232 4.391250E-1 7.291046E-1 7.443250E+1 2.383090E+1 3.537210E-1 6.737217E-1 1.000000E+0 6.813000E+10 6.813000E+10 3.800E-4 1.000E+15
320 007_320 36.232 4.305570E-1 7.177669E-1 7.428840E+1 2.295810E+1 3.464940E-1 6.625823E-1 1.000000E+0 1.000000E+11 1.000000E+11 3.800E-4 1.000E+15
320 008_320 36.232 4.199300E-1 7.030673E-1 7.442460E+1 2.197300E+1 3.389360E-1 6.482949E-1 1.000000E+0 1.468000E+11 1.468000E+11 3.800E-4 1.000E+15
320 009_320 36.232 4.088510E-1 6.847789E-1 7.462910E+1 2.089410E+1 3.313380E-1 6.305979E-1 1.000000E+0 2.154000E+11 2.154000E+11 3.800E-4 1.000E+15
320 010_320 36.232 3.985890E-1 6.630627E-1 7.472250E+1 1.974840E+1 3.238960E-1 6.097125E-1 1.000000E+0 3.162000E+11 3.162000E+11 3.800E-4 1.000E+15
320 011_320 36.232 3.894670E-1 6.384592E-1 7.466620E+1 1.856640E+1 3.167870E-1 5.860850E-1 1.000000E+0 4.642000E+11 4.642000E+11 3.800E-4 1.000E+15
320 012_320 36.232 3.812740E-1 6.116728E-1 7.450100E+1 1.737470E+1 3.100100E-1 5.604576E-1 1.000000E+0 6.813000E+11 6.813000E+11 3.800E-4 1.000E+15
320 013_320 36.232 3.736740E-1 5.832583E-1 7.426830E+1 1.618670E+1 3.034670E-1 5.333920E-1 1.000000E+0 1.000000E+12 1.000000E+12 3.800E-4 1.000E+15
320 014_320 36.232 3.663970E-1 5.534323E-1 7.398480E+1 1.500230E+1 2.970410E-1 5.050599E-1 1.000000E+0 1.468000E+12 1.468000E+12 3.800E-4 1.000E+15
320 015_320 36.232 3.592200E-1 5.221429E-1 7.365570E+1 1.381520E+1 2.905760E-1 4.754412E-1 1.000000E+0 2.154000E+12 2.154000E+12 3.800E-4 1.000E+15
320 016_320 36.232 3.518880E-1 4.893098E-1 7.329960E+1 1.262090E+1 2.839750E-1 4.444376E-1 1.000000E+0 3.162000E+12 3.162000E+12 3.800E-4 1.000E+15
320 017_320 36.232 3.443370E-1 4.550391E-1 7.290720E+1 1.142360E+1 2.771580E-1 4.121686E-1 1.000000E+0 4.642000E+12 4.642000E+12 3.800E-4 1.000E+15
320 018_320 36.232 3.365580E-1 4.196909E-1 7.246480E+1 1.023570E+1 2.700880E-1 3.789762E-1 1.000000E+0 6.813000E+12 6.813000E+12 3.800E-4 1.000E+15
320 019_320 36.232 3.285240E-1 3.838188E-1 7.196610E+1 9.074500E+0 2.627250E-1 3.453985E-1 1.000000E+0 1.000000E+13 1.000000E+13 3.800E-4 1.000E+15
320 020_320 36.232 3.201920E-1 3.480685E-1 7.140750E+1 7.958300E+0 2.550880E-1 3.119816E-1 1.000000E+0 1.468000E+13 1.468000E+13 3.800E-4 1.000E+15
320 021_320 36.232 3.114690E-1 3.130928E-1 7.079530E+1 6.903900E+0 2.471000E-1 2.793957E-1 1.000000E+0 2.154000E+13 2.154000E+13 3.800E-4 1.000E+15
320 022_320 36.232 3.023820E-1 2.794921E-1 7.010290E+1 5.924600E+0 2.387600E-1 2.481418E-1 1.000000E+0 3.162000E+13 3.162000E+13 3.800E-4 1.000E+15
320 023_320 36.232 2.928750E-1 2.477742E-1 6.931640E+1 5.030100E+0 2.300100E-1 2.186898E-1 1.000000E+0 4.642000E+13 4.642000E+13 3.800E-4 1.000E+15
320 024_320 36.232 2.828650E-1 2.183304E-1 6.841820E+1 4.225400E+0 2.207710E-1 1.913913E-1 1.000000E+0 6.813000E+13 6.813000E+13 3.800E-4 1.000E+15
320 025_320 36.232 2.722250E-1 1.914284E-1 6.738570E+1 3.511600E+0 2.109280E-1 1.664823E-1 1.000000E+0 1.000000E+14 1.000000E+14 3.800E-4 1.000E+15
