N_Fe N_B T d n_FeB n_FeB_SRH
1.300000E+10 5.623E+15 320 1.800E-4 1.212591895E+00 1.220052274E+00
2.471000E+10 5.623E+15 320 1.800E-4 1.216075052E+00 1.220149718E+00
4.696000E+10 5.623E+15 320 1.800E-4 1.218137916E+00 1.220332523E+00
8.927000E+10 5.623E+15 320 1.800E-4 1.219499283E+00 1.220671690E+00
1.697000E+11 5.623E+15 320 1.800E-4 1.220663740E+00 1.221288239E+00
3.225000E+11 5.623E+15 320 1.800E-4 1.222036449E+00 1.222370025E+00
6.130000E+11 5.623E+15 320 1.800E-4 1.223981487E+00 1.224161694E+00
1.165000E+12 5.623E+15 320 1.800E-4 1.226788700E+00 1.226888755E+00
2.214000E+12 5.623E+15 320 1.800E-4 1.230563916E+00 1.230622551E+00
4.209000E+12 5.623E+15 320 1.800E-4 1.235178782E+00 1.235216133E+00
8.000000E+12 5.623E+15 320 1.800E-4 1.240406179E+00 1.240432303E+00
