N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 1.778E+15 340 2.100E-4 1.023568336E+00 1.026910244E+00
1.468000E+10 1.778E+15 340 2.100E-4 1.024437835E+00 1.026807843E+00
2.154000E+10 1.778E+15 340 2.100E-4 1.025001361E+00 1.026659357E+00
3.162000E+10 1.778E+15 340 2.100E-4 1.025297766E+00 1.026445261E+00
4.642000E+10 1.778E+15 340 2.100E-4 1.025351938E+00 1.026139108E+00
6.813000E+10 1.778E+15 340 2.100E-4 1.025170841E+00 1.025706566E+00
1.000000E+11 1.778E+15 340 2.100E-4 1.024744341E+00 1.025106093E+00
1.468000E+11 1.778E+15 340 2.100E-4 1.024051232E+00 1.024293457E+00
2.154000E+11 1.778E+15 340 2.100E-4 1.023072779E+00 1.023233459E+00
3.162000E+11 1.778E+15 340 2.100E-4 1.021816795E+00 1.021922330E+00
4.642000E+11 1.778E+15 340 2.100E-4 1.020351655E+00 1.020420378E+00
6.813000E+11 1.778E+15 340 2.100E-4 1.018838595E+00 1.018883255E+00
1.000000E+12 1.778E+15 340 2.100E-4 1.017534307E+00 1.017563627E+00
1.468000E+12 1.778E+15 340 2.100E-4 1.016732906E+00 1.016752801E+00
2.154000E+12 1.778E+15 340 2.100E-4 1.016658747E+00 1.016673041E+00
3.162000E+12 1.778E+15 340 2.100E-4 1.017384766E+00 1.017395781E+00
4.642000E+12 1.778E+15 340 2.100E-4 1.018850298E+00 1.018859350E+00
6.813000E+12 1.778E+15 340 2.100E-4 1.020954200E+00 1.020961997E+00
1.000000E+13 1.778E+15 340 2.100E-4 1.023636500E+00 1.023643418E+00
