T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD TDD1 TDD11 TDD111 d N_B
305 001_305 38.014 4.909340E-1 7.313764E-1 7.976990E+1 2.864200E+1 4.164160E-1 6.878216E-1 1.000000E+0 1.000000E+10 1.000000E+10 1.000000E+10 1.000000E+10 1.800E-4 1.000E+15
305 002_305 38.014 4.900840E-1 7.309516E-1 7.973240E+1 2.856230E+1 4.155760E-1 6.872950E-1 1.000000E+0 1.468000E+10 1.468000E+10 1.468000E+10 1.468000E+10 1.800E-4 1.000E+15
305 003_305 38.014 4.888210E-1 7.303299E-1 7.969020E+1 2.844940E+1 4.143650E-1 6.865792E-1 1.000000E+0 2.154000E+10 2.154000E+10 2.154000E+10 2.154000E+10 1.800E-4 1.000E+15
305 004_305 38.014 4.870820E-1 7.294210E-1 7.963000E+1 2.829150E+1 4.127050E-1 6.855150E-1 1.000000E+0 3.162000E+10 3.162000E+10 3.162000E+10 3.162000E+10 1.800E-4 1.000E+15
305 005_305 38.014 4.847480E-1 7.280949E-1 7.954420E+1 2.807450E+1 4.104390E-1 6.840112E-1 1.000000E+0 4.642000E+10 4.642000E+10 4.642000E+10 4.642000E+10 1.800E-4 1.000E+15
305 006_305 38.014 4.816990E-1 7.261653E-1 7.942540E+1 2.778240E+1 4.074510E-1 6.818601E-1 1.000000E+0 6.813000E+10 6.813000E+10 6.813000E+10 6.813000E+10 1.800E-4 1.000E+15
305 007_305 38.014 4.777080E-1 7.233689E-1 7.928890E+1 2.739900E+1 4.036430E-1 6.787932E-1 1.000000E+0 1.000000E+11 1.000000E+11 1.000000E+11 1.000000E+11 1.800E-4 1.000E+15
305 008_305 38.014 4.727900E-1 7.193395E-1 7.911910E+1 2.690810E+1 3.989550E-1 6.744647E-1 1.000000E+0 1.468000E+11 1.468000E+11 1.468000E+11 1.468000E+11 1.800E-4 1.000E+15
305 009_305 38.014 4.669020E-1 7.135817E-1 7.892450E+1 2.629550E+1 3.933890E-1 6.684358E-1 1.000000E+0 2.154000E+11 2.154000E+11 2.154000E+11 2.154000E+11 1.800E-4 1.000E+15
305 010_305 38.014 4.602210E-1 7.054500E-1 7.869050E+1 2.554790E+1 3.870410E-1 6.600821E-1 1.000000E+0 3.162000E+11 3.162000E+11 3.162000E+11 3.162000E+11 1.800E-4 1.000E+15
305 011_305 38.014 4.527040E-1 6.941539E-1 7.845160E+1 2.465310E+1 3.800680E-1 6.486492E-1 1.000000E+0 4.642000E+11 4.642000E+11 4.642000E+11 4.642000E+11 1.800E-4 1.000E+15
305 012_305 38.014 4.446780E-1 6.788122E-1 7.818520E+1 2.360040E+1 3.726070E-1 6.333866E-1 1.000000E+0 6.813000E+11 6.813000E+11 6.813000E+11 6.813000E+11 1.800E-4 1.000E+15
305 013_305 38.014 4.363380E-1 6.585942E-1 7.789360E+1 2.238430E+1 3.648540E-1 6.135140E-1 1.000000E+0 1.000000E+12 1.000000E+12 1.000000E+12 1.000000E+12 1.800E-4 1.000E+15
305 014_305 38.014 4.278720E-1 6.329568E-1 7.757830E+1 2.101010E+1 3.569630E-1 5.885793E-1 1.000000E+0 1.468000E+12 1.468000E+12 1.468000E+12 1.468000E+12 1.800E-4 1.000E+15
305 015_305 38.014 4.194460E-1 6.019321E-1 7.724020E+1 1.950150E+1 3.490920E-1 5.586347E-1 1.000000E+0 2.154000E+12 2.154000E+12 2.154000E+12 2.154000E+12 1.800E-4 1.000E+15
305 016_305 38.014 4.111200E-1 5.663197E-1 7.689330E+1 1.790270E+1 3.413380E-1 5.244860E-1 1.000000E+0 3.162000E+12 3.162000E+12 3.162000E+12 3.162000E+12 1.800E-4 1.000E+15
305 017_305 38.014 4.029750E-1 5.276030E-1 7.653600E+1 1.627240E+1 3.337600E-1 4.875473E-1 1.000000E+0 4.642000E+12 4.642000E+12 4.642000E+12 4.642000E+12 1.800E-4 1.000E+15
305 018_305 38.014 3.950530E-1 4.875357E-1 7.615990E+1 1.466860E+1 3.263570E-1 4.494637E-1 1.000000E+0 6.813000E+12 6.813000E+12 6.813000E+12 6.813000E+12 1.800E-4 1.000E+15
305 019_305 38.014 3.873060E-1 4.476016E-1 7.575680E+1 1.313310E+1 3.190720E-1 4.116028E-1 1.000000E+0 1.000000E+13 1.000000E+13 1.000000E+13 1.000000E+13 1.800E-4 1.000E+15
305 020_305 38.014 3.796350E-1 4.086811E-1 7.531590E+1 1.168520E+1 3.118070E-1 3.747589E-1 1.000000E+0 1.468000E+13 1.468000E+13 1.468000E+13 1.468000E+13 1.800E-4 1.000E+15
305 021_305 38.014 3.717960E-1 3.710976E-1 7.484940E+1 1.032720E+1 3.044430E-1 3.392147E-1 1.000000E+0 2.154000E+13 2.154000E+13 2.154000E+13 2.154000E+13 1.800E-4 1.000E+15
305 022_305 38.014 3.637570E-1 3.349166E-1 7.432950E+1 9.055400E+0 2.968460E-1 3.050553E-1 1.000000E+0 3.162000E+13 3.162000E+13 3.162000E+13 3.162000E+13 1.800E-4 1.000E+15
305 023_305 38.014 3.554600E-1 3.002337E-1 7.373500E+1 7.869100E+0 2.889550E-1 2.723291E-1 1.000000E+0 4.642000E+13 4.642000E+13 4.642000E+13 4.642000E+13 1.800E-4 1.000E+15
305 024_305 38.014 3.468440E-1 2.672807E-1 7.305040E+1 6.772100E+0 2.806930E-1 2.412637E-1 1.000000E+0 6.813000E+13 6.813000E+13 6.813000E+13 6.813000E+13 1.800E-4 1.000E+15
305 025_305 38.014 3.378500E-1 2.363714E-1 7.225810E+1 5.770400E+0 2.719820E-1 2.121605E-1 1.000000E+0 1.000000E+14 1.000000E+14 1.000000E+14 1.000000E+14 1.800E-4 1.000E+15
