N_Fe N_B T d n_FeB n_FeB_SRH
1.100000E+11 8.000E+16 312 2.200E-4 1.239054380E+00 1.241887527E+00
1.302000E+11 8.000E+16 312 2.200E-4 1.241120236E+00 1.243506712E+00
1.540000E+11 8.000E+16 312 2.200E-4 1.243151251E+00 1.245165747E+00
1.822000E+11 8.000E+16 312 2.200E-4 1.245145690E+00 1.246851165E+00
2.156000E+11 8.000E+16 312 2.200E-4 1.247101385E+00 1.248550616E+00
2.551000E+11 8.000E+16 312 2.200E-4 1.249016454E+00 1.250253480E+00
3.018000E+11 8.000E+16 312 2.200E-4 1.250890010E+00 1.251951363E+00
3.571000E+11 8.000E+16 312 2.200E-4 1.252722440E+00 1.253638302E+00
4.226000E+11 8.000E+16 312 2.200E-4 1.254515583E+00 1.255310818E+00
5.000000E+11 8.000E+16 312 2.200E-4 1.256272725E+00 1.256967700E+00
