T file kT1 TDD TDD1 d N_B
340 001_340 34.101 1.300000E+10 1.300000E+10 1.800E-4 1.000E+17
340 002_340 34.101 2.471000E+10 2.471000E+10 1.800E-4 1.000E+17
340 003_340 34.101 4.696000E+10 4.696000E+10 1.800E-4 1.000E+17
340 004_340 34.101 8.927000E+10 8.927000E+10 1.800E-4 1.000E+17
340 005_340 34.101 1.697000E+11 1.697000E+11 1.800E-4 1.000E+17
340 006_340 34.101 3.225000E+11 3.225000E+11 1.800E-4 1.000E+17
340 007_340 34.101 6.130000E+11 6.130000E+11 1.800E-4 1.000E+17
340 008_340 34.101 1.165000E+12 1.165000E+12 1.800E-4 1.000E+17
340 009_340 34.101 2.214000E+12 2.214000E+12 1.800E-4 1.000E+17
340 010_340 34.101 4.209000E+12 4.209000E+12 1.800E-4 1.000E+17
340 011_340 34.101 8.000000E+12 8.000000E+12 1.800E-4 1.000E+17
