N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
2.154000E+12 1.778E+15 293 1.500E-4 1.224008210E+00 1.224029039E+00 1.208380947E+00 1.208418838E+00
3.162000E+12 1.778E+15 293 1.500E-4 1.226891737E+00 1.226908362E+00 1.210703120E+00 1.210732193E+00
4.642000E+12 1.778E+15 293 1.500E-4 1.230196368E+00 1.230210005E+00 1.213642339E+00 1.213665272E+00
6.813000E+12 1.778E+15 293 1.500E-4 1.233899362E+00 1.233910791E+00 1.217219426E+00 1.217237992E+00
1.000000E+13 1.778E+15 293 1.500E-4 1.237950537E+00 1.237960255E+00 1.221394792E+00 1.221410145E+00
1.000000E+10 1.778E+16 293 1.500E-4 1.243649357E+00 1.264055440E+00 1.208341060E+00 1.218183635E+00
1.468000E+10 1.778E+16 293 1.500E-4 1.247763764E+00 1.264104615E+00 1.210959236E+00 1.218268245E+00
2.154000E+10 1.778E+16 293 1.500E-4 1.251402442E+00 1.264176482E+00 1.213044550E+00 1.218391467E+00
3.162000E+10 1.778E+16 293 1.500E-4 1.254538689E+00 1.264281473E+00 1.214709264E+00 1.218570469E+00
4.642000E+10 1.778E+16 293 1.500E-4 1.257168864E+00 1.264434628E+00 1.216067687E+00 1.218829441E+00
6.813000E+10 1.778E+16 293 1.500E-4 1.259337904E+00 1.264657478E+00 1.217237156E+00 1.219201821E+00
1.000000E+11 1.778E+16 293 1.500E-4 1.261137684E+00 1.264980514E+00 1.218336191E+00 1.219732651E+00
1.468000E+11 1.778E+16 293 1.500E-4 1.262692388E+00 1.265446197E+00 1.219483683E+00 1.220480373E+00
2.154000E+11 1.778E+16 293 1.500E-4 1.264144065E+00 1.266112256E+00 1.220798743E+00 1.221516914E+00
3.162000E+11 1.778E+16 293 1.500E-4 1.265643971E+00 1.267054475E+00 1.222398994E+00 1.222924445E+00
4.642000E+11 1.778E+16 293 1.500E-4 1.267348408E+00 1.268367355E+00 1.224394773E+00 1.224787391E+00
6.813000E+11 1.778E+16 293 1.500E-4 1.269414302E+00 1.270160081E+00 1.226878387E+00 1.227179408E+00
1.000000E+12 1.778E+16 293 1.500E-4 1.271989307E+00 1.272544823E+00 1.229910399E+00 1.230147771E+00
1.468000E+12 1.778E+16 293 1.500E-4 1.275193299E+00 1.275615745E+00 1.233508363E+00 1.233700673E+00
2.154000E+12 1.778E+16 293 1.500E-4 1.279093683E+00 1.279421965E+00 1.237645134E+00 1.237804478E+00
3.162000E+12 1.778E+16 293 1.500E-4 1.283684513E+00 1.283944770E+00 1.242264059E+00 1.242398340E+00
4.642000E+12 1.778E+16 293 1.500E-4 1.288883881E+00 1.289093535E+00 1.247287704E+00 1.247401787E+00
6.813000E+12 1.778E+16 293 1.500E-4 1.294557335E+00 1.294728059E+00 1.252657567E+00 1.252754787E+00
1.000000E+13 1.778E+16 293 1.500E-4 1.300557678E+00 1.300697495E+00 1.258325515E+00 1.258408344E+00
1.000000E+10 1.778E+16 303 1.500E-4 1.249417827E+00 1.267507472E+00 1.213056419E+00 1.224178142E+00
1.468000E+10 1.778E+16 303 1.500E-4 1.253534715E+00 1.267547797E+00 1.216189785E+00 1.224250884E+00
2.154000E+10 1.778E+16 303 1.500E-4 1.256920048E+00 1.267606772E+00 1.218573650E+00 1.224356833E+00
3.162000E+10 1.778E+16 303 1.500E-4 1.259687047E+00 1.267692934E+00 1.220400509E+00 1.224510664E+00
4.642000E+10 1.778E+16 303 1.500E-4 1.261924588E+00 1.267818578E+00 1.221833767E+00 1.224733011E+00
6.813000E+10 1.778E+16 303 1.500E-4 1.263726315E+00 1.268001304E+00 1.223017210E+00 1.225052218E+00
1.000000E+11 1.778E+16 303 1.500E-4 1.265199493E+00 1.268265966E+00 1.224080512E+00 1.225506219E+00
1.468000E+11 1.778E+16 303 1.500E-4 1.266462057E+00 1.268647073E+00 1.225141935E+00 1.226160082E+00
2.154000E+11 1.778E+16 303 1.500E-4 1.267637422E+00 1.269191397E+00 1.226322000E+00 1.227039562E+00
3.162000E+11 1.778E+16 303 1.500E-4 1.268851570E+00 1.269960124E+00 1.227714463E+00 1.228225566E+00
4.642000E+11 1.778E+16 303 1.500E-4 1.270232101E+00 1.271029456E+00 1.229418596E+00 1.229791507E+00
6.813000E+11 1.778E+16 303 1.500E-4 1.271906435E+00 1.272487822E+00 1.231495456E+00 1.231770997E+00
1.000000E+12 1.778E+16 303 1.500E-4 1.273995843E+00 1.274427827E+00 1.233996493E+00 1.234205872E+00
1.468000E+12 1.778E+16 303 1.500E-4 1.276603458E+00 1.276931930E+00 1.236936806E+00 1.237101024E+00
2.154000E+12 1.778E+16 303 1.500E-4 1.279797468E+00 1.280053620E+00 1.240314766E+00 1.240448367E+00
3.162000E+12 1.778E+16 303 1.500E-4 1.283595394E+00 1.283800075E+00 1.244087203E+00 1.244198138E+00
4.642000E+12 1.778E+16 303 1.500E-4 1.287958736E+00 1.288125675E+00 1.248226372E+00 1.248320384E+00
6.813000E+12 1.778E+16 303 1.500E-4 1.292805244E+00 1.292943404E+00 1.252698256E+00 1.252778902E+00
1.000000E+13 1.778E+16 303 1.500E-4 1.298035312E+00 1.298150626E+00 1.257474813E+00 1.257544282E+00
1.000000E+10 3.162E+16 303 1.500E-4 1.255687189E+00 1.282711664E+00 1.210593975E+00 1.224137686E+00
1.468000E+10 3.162E+16 303 1.500E-4 1.261081365E+00 1.282761210E+00 1.214524634E+00 1.224277969E+00
2.154000E+10 3.162E+16 303 1.500E-4 1.265629997E+00 1.282833647E+00 1.217517730E+00 1.224480824E+00
3.162000E+10 3.162E+16 303 1.500E-4 1.269510926E+00 1.282939445E+00 1.219840098E+00 1.224772301E+00
4.642000E+10 3.162E+16 303 1.500E-4 1.272813838E+00 1.283093668E+00 1.221715096E+00 1.225187374E+00
6.813000E+10 3.162E+16 303 1.500E-4 1.275599633E+00 1.283317828E+00 1.223335338E+00 1.225771048E+00
1.000000E+11 3.162E+16 303 1.500E-4 1.277943538E+00 1.283642217E+00 1.224869881E+00 1.226578020E+00
1.468000E+11 3.162E+16 303 1.500E-4 1.279952476E+00 1.284108750E+00 1.226466705E+00 1.227669377E+00
2.154000E+11 3.162E+16 303 1.500E-4 1.281763007E+00 1.284773860E+00 1.228250692E+00 1.229105449E+00
3.162000E+11 3.162E+16 303 1.500E-4 1.283531345E+00 1.285710672E+00 1.230318290E+00 1.230935533E+00
4.642000E+11 3.162E+16 303 1.500E-4 1.285422972E+00 1.287008802E+00 1.232731694E+00 1.233187844E+00
6.813000E+11 3.162E+16 303 1.500E-4 1.287602519E+00 1.288769516E+00 1.235517405E+00 1.235864532E+00
1.000000E+12 3.162E+16 303 1.500E-4 1.290220855E+00 1.291093908E+00 1.238671966E+00 1.238944830E+00
1.468000E+12 3.162E+16 303 1.500E-4 1.293397094E+00 1.294063572E+00 1.242173785E+00 1.242395032E+00
2.154000E+12 3.162E+16 303 1.500E-4 1.297197801E+00 1.297717664E+00 1.245997216E+00 1.246181280E+00
3.162000E+12 3.162E+16 303 1.500E-4 1.301621997E+00 1.302035702E+00 1.250124155E+00 1.250280148E+00
4.642000E+12 3.162E+16 303 1.500E-4 1.306603173E+00 1.306937745E+00 1.254548645E+00 1.254682370E+00
6.813000E+12 3.162E+16 303 1.500E-4 1.312032655E+00 1.312306221E+00 1.259272969E+00 1.259388242E+00
1.000000E+13 3.162E+16 303 1.500E-4 1.317793767E+00 1.318018792E+00 1.264299222E+00 1.264398696E+00
1.000000E+10 5.623E+15 303 1.500E-4 1.233938226E+00 1.241111777E+00 1.208755233E+00 1.216236159E+00
1.468000E+10 5.623E+15 303 1.500E-4 1.235968614E+00 1.241147798E+00 1.210834234E+00 1.216262503E+00
2.154000E+10 5.623E+15 303 1.500E-4 1.237506718E+00 1.241200424E+00 1.212414089E+00 1.216301051E+00
3.162000E+10 5.623E+15 303 1.500E-4 1.238669828E+00 1.241277165E+00 1.213605113E+00 1.216357427E+00
